claim_id,section,location,final_text_or_value,frozen_authority,authority_key_or_row,verification_status,notes
N027,RQ3,lines 621,Replace example and all FDR values from corrected full rows,outputs/reference_quotient_p0_corrected_v3/rq3_subdomain_descriptive_comparison.csv; outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv,N027,MAPPED,actual migrated target block/paragraph verified
N028,RQ3,lines 627-634,Rebuild full include_mixed row set including Object Oriented and RDF,outputs/reference_quotient_p0_corrected_v3/rq3_subdomain_descriptive_comparison.csv,N028,MAPPED,actual migrated target block/paragraph verified
N029,RQ3,line 640,Use corrected effect rows and rejection flags; do not infer range by hand,outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv,N029,MAPPED,actual migrated target block/paragraph verified
N030,RQ3,lines 646-656,Replace every row from corrected CSV,outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv,N030,MAPPED,actual migrated target block/paragraph verified
N031,RQ3,line 658,Replace both mode-specific statistics with corrected rows,outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv,N031,MAPPED,actual migrated target block/paragraph verified
N032,RQ3,line 662,Use corrected project_age_years_at_2023_end rows,outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv,N032,MAPPED,actual migrated target block/paragraph verified
N033,discussion,line 697,"Use 9,595 and 9,547; preserve operator provenance",outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json,N033,MAPPED,actual migrated target block/paragraph verified
N034,validity,line 726,500 remains; retain candidate-only interpretation,outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json; supplemental/reference_quotient_v2/outputs_p0v3/manifest.json,N034,MAPPED,actual migrated target block/paragraph verified
N035,appendix A,lines 767-777,"Replace identity with current branch, P0/package commits, roots, runtime pandas 1.5.3, package status and hashes", supplemental/reference_quotient_v2/outputs_p0v3/manifest.json; outputs/reference_quotient_p0_corrected_v3/manifest.json,N035,MAPPED,actual migrated target block/paragraph verified
N036,appendix A,lines 783,"Use 3,747,958 admitted; 1,586,047 eligible; 9,884; 289; 9,595",outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json,N036,MAPPED,actual migrated target block/paragraph verified
N037,appendix A,line 785,"Use 294; 6,212 expanded; 262; 32",outputs/reference_quotient_p0_corrected_v3/seed_observability_audit.json,N037,MAPPED,actual migrated target block/paragraph verified
N038,appendix A,line 803,Retain 2023 and no-second-order statements; add S4 limitation statistics when numeric,outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json; supplemental/reference_quotient_v2/outputs_p0v3/S4_community_stability/louvain_stability_summary.json,N038,MAPPED,actual migrated target block/paragraph verified
N039,main-result repetition,lines 8/101/113/369/378/534/697/752,Synchronize all repetitions to one frozen source per claim; keep an old-to-new diff,outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json,N039,MAPPED,actual migrated target block/paragraph verified
N040,S7 reserve,not currently present,Do not add unless reviewer requests fixed-object composition; use historical fixed sets only,docs/freeze/ch5_refq_p0v3_s7_fixed_object_overlap_runtime_gate_v1.md; supplemental/reference_quotient_v1/outputs/S7_top_evidence_composition/,N040,MAPPED,actual migrated target block/paragraph verified
