DBMS_urnform,DBMS_common_name,field_name,upstream_raw_value,local_raw_value,upstream_normalized_value,local_normalized_value,difference_class,semantic_change,scientific_materiality,provenance_class,evidence,confidence
axion,Axion,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
bayesdb,BayesDB,github_repo_id,,25949241,<BLANK>,25949241,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
beryldb,BerylDB,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
blackray,BlackRay,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
chaozzdb,chaozzDB,github_repo_id,,181762826,<BLANK>,181762826,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
cheetah,Cheetah,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
chronix,Chronix,github_repo_id,,43548435,<BLANK>,43548435,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
closevector,CloseVector,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
cogadb,CoGaDB,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
conceptbasecc,ConceptBase.cc,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
consus-java,Consus,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
cql,CQL++,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
dalmatinerdb,DalmatinerDB,github_repo_id,,20814855,<BLANK>,20814855,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
datahike,Datahike,github_repo_id,,116407410,<BLANK>,116407410,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
dydra,Dydra,License_info,,The Unlicense,<BLANK>,The Unlicense,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
dynomitedb,DynomiteDB,github_repo_id,,13484625,<BLANK>,13484625,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
edis,Edis,License_info,,Apache License 2.0,<BLANK>,Apache License 2.0,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
effiproz,EffiProz,License_info,,-,<BLANK>,-,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
effiproz,EffiProz,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
falcon,Falcon,License_info,,-,<BLANK>,-,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
falcon,Falcon,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
fastdb,FastDB,License_info,,Other,<BLANK>,Other,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
ferretdb,FerretDB,License_info,,Apache License 2.0,<BLANK>,Apache License 2.0,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
filodb,FiloDB,github_repo_id,,29259281,<BLANK>,29259281,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
firebolt,Firebolt,License_info,,Apache License 2.0,<BLANK>,Apache License 2.0,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
gadfly,Gadfly,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
genji,Genji,License_info,,MIT License,<BLANK>,MIT License,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
gigabase,GigaBASE,License_info,,Other,<BLANK>,Other,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
gigaspaces,GigaSpaces,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
glowdust,Glowdust,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
gnu-sql-server,GNU SQL Server,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
goods,GOODS,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
hadoop,Hadoop,github_repo_id,,23418517,<BLANK>,23418517,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
haildb,HailDB,License_info,,GNU General Public License v2.0,<BLANK>,GNU General Public License v2.0,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
hampusdb,HampusDB,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
hanoidb,HanoiDB,License_info,,Apache License 2.0,<BLANK>,Apache License 2.0,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
hyperleveldb,HyperLevelDB,License_info,,"BSD 3-Clause ""New"" or ""Revised"" License",<BLANK>,"BSD 3-Clause ""New"" or ""Revised"" License",LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
infogrid,InfoGrid,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
jindb,JinDB,github_repo_id,,215184961,<BLANK>,215184961,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
jsqldb,JSqlDb,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
kahadb,KahaDB,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
kai,Kai,License_info,,Apache License 2.0,<BLANK>,Apache License 2.0,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
kekedb,KekeDB,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
kerf,Kerf,License_info,,"BSD 2-Clause ""Simplified"" License",<BLANK>,"BSD 2-Clause ""Simplified"" License",LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
kerf,Kerf,github_repo_id,,455386848,<BLANK>,455386848,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
kirbybase,KirbyBase,github_repo_id,,386446,<BLANK>,386446,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
lightcloud,LightCloud,License_info,,"BSD 3-Clause ""New"" or ""Revised"" License",<BLANK>,"BSD 3-Clause ""New"" or ""Revised"" License",LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
lightdb,LightDB,License_info,,MIT License,<BLANK>,MIT License,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
littled,LittleD,github_repo_id,,14753974,<BLANK>,14753974,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
llamadb,LlamaDB,github_repo_id,,31960975,<BLANK>,31960975,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
localsql,LocalSQL,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
locustdb,LocustDB,License_info,,Other,<BLANK>,Other,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
lokijs,LokiJS,License_info,,MIT License,<BLANK>,MIT License,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
luciddb,LucidDB,github_repo_id,,3017505,<BLANK>,3017505,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
mariposa,Mariposa,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
mldb,MLDB,github_repo_id,,47634692,<BLANK>,47634692,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
mutable,mutable,License_info,,GNU Affero General Public License v3.0,<BLANK>,GNU Affero General Public License v3.0,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
mutable,mutable,github_repo_id,,576351141,<BLANK>,576351141,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
ndb-cluster,NDB Cluster,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
ocelot,Ocelot,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
odaba,ODABA,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
opengauss,openGauss,License_info,,"Mulan Permissive Software License, Version 2",<BLANK>,"Mulan Permissive Software License, Version 2",LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
oracle-coherence,Oracle Coherence,License_info,,Universal Permissive License v1.0,<BLANK>,Universal Permissive License v1.0,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
picosql,picoSQL,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
pocketsql,pocketSQL,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
pranadb,PranaDB,License_info,,Apache License 2.0,<BLANK>,Apache License 2.0,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
predator,Predator,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
qserv,Qserv,License_info,,GNU General Public License v3.0,<BLANK>,GNU General Public License v3.0,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
redict,Redict,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
rexdb,RexDB,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
riak-ts,Riak TS,License_info,,-,<BLANK>,-,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
