numeric_claim_id,section,line_or_table,exact_text,numeric_tokens,claim_class,frozen_authority,authority_key_or_row,display_transform,verification_status,notes
"QNUM0060","### 1.4 研究问题与贡献","line 60","本文的贡献主要体现在四个方面。第一，**explicit relation formalization / construction contract**：本文将已有 project-level cross-reference aggregation 中通常由数据处理隐含承担的 project mapping 与 aggregation assumptions，显式形式化为 semantic membership quotient，并以 paper-defined RefQ/RefQN 表示；贡献在于 relation semantics、endpoint eligibility、membership、aggregation 和 interpretation contract，而不是新的 graph operator。第二，**boundary-aware evidence instantiation**：本文在 DBMS vertical ecosystem 中区分 observable fine-grained Reference evidence universe 与 quotient-eligible project-mappable subset，明确 non-project evidence、self-loop、membership-resolution、seed-centered source observation 和 expanded-target asymmetry；“更多实体类型”本身不是贡献。第三，**observation-aware role-aware empirical characterization**：由于 294 个 seed projects 的 source observation 与 expanded targets 的 source-incomplete 状态不对称，本文将 source role、target role 和 undirected structural view 作为避免 sampling-induced misinterpretation 的分析设计，并结合 RQ1 与 RQ3 形成经验刻画。第四，**traceable weaker-semantic structural evidence layer**：RefQ 保留 observable Reference evidence 的 provenance 和边界，采用比 technical-dependency 或 task-resolution 更弱的 inference commitment，为软件生态研究、引用感知工具和需要更强语义验证的后续关系分析提供 reusable interface。总体而言，这五个研究问题依次从细粒度 Reference evidence 的构成出发，进入角色化的项目级 RefQ 结构分析，并进一步考察 DBMS 子领域中受边界约束的异质性。","294","HISTORICAL_COMPARISON","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0062","## 2 相关工作","line 62","## 2 相关工作","2","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0064","### 2.1 软件生态系统与社会技术协作证据","line 64","### 2.1 软件生态系统与社会技术协作证据","2.1","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0065","### 2.1 软件生态系统与社会技术协作证据","line 65","软件生态系统研究关注项目、开发者、组织、平台和技术工件之间的交互关系。相关研究已经从早期的软件产品线、平台生态和项目集合，扩展到开源生态中的跨组织协作、生态健康度、可持续性、知识扩散和治理机制 [@messerschmitt2003softwareecosystem; @jansen2013softwareecosystemsbook; @bosch2009spltoecosystems]。对于开源软件而言，协作不仅体现为代码贡献，还体现为 Issue 讨论、Pull Request 审查、Commit 历史、文档链接、外部资源引用和社区规范沉淀。这些协作痕迹共同构成社会技术网络的可观测基础。","003;013;009","HISTORICAL_COMPARISON","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0067","### 2.1 软件生态系统与社会技术协作证据","line 67","社会技术网络研究为观察开发者、项目和技术工件之间的关系提供背景 [@bird2009sociotechnical; @zhang2014developersocialnetworks; @mcclean2021ossocialnetwork]。在本文的 analytical framing 中，社会关系用于指代开发者互动和社区协作，技术关系用于指代依赖、调用、构件和代码演化，任务关系用于组织 Issue、PR、Commit 和评论等问题处理上下文；这一三分结构是本文的分析组织方式，而不是上述文献共同给出的标准 taxonomy。开源 DBMS 生态中的协作证据可能跨越这些视角：开发者在问题讨论中引用其他项目的实现或缺陷报告，维护者在 PR 审查中链接历史提交和外部文档，用户在 Issue 中提供跨版本适配经验或兼容性证据。因此，包依赖或代码调用关系之外的 explicit Reference evidence 值得单独观察。","009;014;021","HISTORICAL_COMPARISON","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0071","### 2.2 Cross-project References and Reference Coupling","line 71","### 2.2 Cross-project References and Reference Coupling","2.2","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0072","### 2.2 Cross-project References and Reference Coupling","line 72","引用关系是开源协作中常见的显式或半显式连接形式。GitHub 的 autolinked references 与 Issue/PR linking 机制由官方文档分别说明 [@githubdocs2026autolinked; @githubdocs2026linkingprissue]。针对具体的 empirical link contexts，Xiao 等人研究 commit-message links，Lima 等人研究 GitHub Discussions links，Wang 等人研究 modern code review 中的 shared links [@xiao2023commitlinks; @lima2025discussionlinks; @wang2021sharedlinks]。这些来源分别覆盖具体的平台机制或 link context，而不是共同定义一个穷尽的 Reference taxonomy。与依赖声明相比，引用关系可以补充开发者在协作过程中的显式知识指向和上下文组织：Issue/PR 可能用于说明相似问题或实现方案，外部文档可能提供规范依据，Commit 可能用于定位变更来源。","026;023;025;021","HISTORICAL_COMPARISON","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0074","### 2.2 Cross-project References and Reference Coupling","line 74","Reference Coupling 研究为利用 cross-reference 识别项目间关联提供了软件工程领域依据。Blincoe 2015/2019 的经验工作以 Issue/PR/Commit comments 中指向其他 repository 的 Issue/PR 或 Commit references 为核心，将 source project 与 target project 构造成 directed project-level graph，并使用 project-pair cross-reference count 作为 edge weight，进而开展 ecosystem/community 或 dependency-oriented analysis [@blincoe2015ecosystems; @blincoe2019referencecoupling]。其方向语义仍是 cross-reference direction，而不自动表示真实 technical dependency direction。本文承认这些 project-level aggregation、direction 和 count-weighting precedent，不把它们单独作为 novelty；本文的 RefQ 是对该类 direct project-reference relation 的 formalization/reframing，而不是替代或重新发明 Reference Coupling。","2015;2019;015;019","HISTORICAL_COMPARISON","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0076","### 2.2 Cross-project References and Reference Coupling","line 76","IREL 从 Issue/PR/Commit descriptions 与 comments 中识别 URL、Num 和 SHA references，并处理 project identity 与 rename resolution；其目标是 project-reference identification，并删除 same-project references [@liu2022irel]。这一 policy 不等于本文的 self-loop policy：本文一般 RefQ 保留 project-internal Reference evidence 的 \(Q_{aa}\) 语义，只有在特定 cross-project view 中才按视图规则排除自环。本文因此把 IREL 视为 extraction/identity prior，而不是本文 quotient 或 self-loop contract 的来源。","022","HISTORICAL_COMPARISON","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0080","### 2.3 Graph Coarsening, Contraction and Quotient Networks","line 80","### 2.3 Graph Coarsening, Contraction and Quotient Networks","2.3","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0081","### 2.3 Graph Coarsening, Contraction and Quotient Networks","line 81","图论和网络科学中的 graph contraction、graph coarsening 与 quotient graph/network 为本文提供形式化语言。Loukas 以 many-to-one map、contraction sets 和 induced partition 讨论 graph coarsening；Sánchez-García 以 partition characteristic matrix 讨论 quotient network，并明确一般 quotient network 可以是 directed and weighted；Xiao 等人则提供 network quotient 与 structural coarse-graining 的经典背景 [@loukas2019graphreduction; @sanchezgarcia2020quotientnetwork; @xiao2008networkquotients]。Sánchez-García 区分 normalized quotient \(Q(A)=\Lambda^{-1}S^\top A S\) 与 unnormalized compression \(B=S^\top A S\)；本文只把这种 characteristic-matrix aggregation 视为数学先例，并根据 Reference evidence multiplicity 采用 structurally analogous 的 unnormalized block-sum \(Q=M^\top R_PM\)，不把两种 quotient definition 写成完全相同。在本文场景中，contraction 描述将同一 semantic membership block 内的细粒度节点合并为一个项目级 coarse node；membership-induced graph coarsening 描述依据 artifact-to-project membership partition 将细粒度 Reference 图降粒度到项目层的整体过程；weighted directed quotient network 描述最终得到的数学对象。","019;020;008;-1","HISTORICAL_COMPARISON","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0085","### 2.3 Graph Coarsening, Contraction and Quotient Networks","line 85","同时，RefQ 必须与常见 network projection 区分。Kessler 所说的 bibliographic coupling 是由共享 cited objects 诱导的二阶 relation；它与 Blincoe 所研究的 direct cross-project Reference aggregation 不是同一构造 [@kessler1963bibliographiccoupling]。本文的 projection 边界还包括基于共同 target 的 \(QQ^\top\)、基于共同 source 的 \(Q^\top Q\)，或以 \(K=X\Phi X^\top\) 表示的 shared-reference projection。本文的核心对象是 \(Q=M^\top R_PM\)，即对已有一阶有向 Reference relation 进行 membership-induced quotient/coarsening，而不是构建 shared-reference、shared-neighbor、bibliographic-coupling 或 co-citation 网络。","963","HISTORICAL_COMPARISON","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0087","### 2.4 开源 DBMS 生态与领域化协作特征","line 87","### 2.4 开源 DBMS 生态与领域化协作特征","2.4","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0088","### 2.4 开源 DBMS 生态与领域化协作特征","line 88","DBMS 项目涉及查询处理、事务管理、并发控制、存储布局、日志恢复、复制一致性、数据模型和接口兼容等技术问题。关于 DBMS extensibility 与开源项目中 DBMS adoption 的研究进一步表明，扩展接口和采用情境值得作为独立的领域观察对象 [@kim2025dbmsextensibility; @paiva2025dbmsadoption]。这些特征使跨项目、模块和工具链的 Reference evidence 成为可检验的研究动机，但本文不据此断言 DBMS 必然不同于所有其他软件项目。","025","HISTORICAL_COMPARISON","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0090","### 2.4 开源 DBMS 生态与领域化协作特征","line 90","在 DBMS 场景中，不同子领域可能形成不同的 Reference contexts。关系型数据库项目可能围绕 SQL 兼容、查询优化和事务隔离展开讨论；文档型数据库项目可能引用数据模型、驱动接口和数据转换方案；键值存储和缓存系统可能关注性能测试、故障复现和实现细节；图数据库项目可能连接到查询语言、图算法和外部知识资源。多数据库模型与 source/schema evolution 的既有研究为这种领域异质性提供动机 [@benats2021multidatabasemodels; @vassiliadis2023sourceschemaevolution]，但这些例子在本文中只是 RQ3 的 testable motivation，不是既有文献已经证明的 RefQ differences。不同子领域的技术目标和协作文化差异是否影响 Reference evidence composition、RefQ source/target role 和局部结构指标，由本文的 bounded comparison 检验。","021;023","HISTORICAL_COMPARISON","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0094","### 2.5 研究缺口收束","line 94","### 2.5 研究缺口收束","2.5","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0095","### 2.5 研究缺口收束","line 95","综上，已有研究建立了重要的 empirical and mathematical precedents，但它们服务于不同的 abstraction goals。经验先例方面，Blincoe 2015/2019 关注 cross-reference 驱动的 directed/count-weighted project-level ecosystem analysis，IREL 关注 project-reference identification 与 identity resolution [@blincoe2015ecosystems; @blincoe2019referencecoupling; @liu2022irel]。数学先例方面，Loukas、Sánchez-García 和 Xiao 分别提供 graph coarsening/contraction、quotient-network aggregation 与 network-quotient background [@loukas2019graphreduction] [@sanchezgarcia2020quotientnetwork] [@xiao2008networkquotients]。本文的增量不是声称这些先例不存在，而是把 heterogeneous fine-grained Reference evidence 提升为 semantic membership partition 下的 traceable project-level RefQ，并同时报告 observation and interpretation boundaries。后续更强语义的 task-level relation analyses 仅作为关系资产接口与未来扩展方向，不构成本文的核心贡献。","2015;2019;015;019;022;020;008","HISTORICAL_COMPARISON","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0097","## 3 研究方法","line 97","## 3 研究方法","3","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0101","## 3 研究方法","line 101","为保证经验分析的可复核性，本文同时明确数据口径、处理链边界和 quotient construction 规则。本文区分四个相互关联但不可混用的口径。第一，**analysis seed projects** 指 294 个满足领域代表性、活跃度和许可证筛选条件的开源 DBMS 项目，它们是本文 GitHub 日志爬取和 Reference source 观测对象。第二，**scanned input Reference records** 指观测窗口中扫描到的 3,748,078 条输入记录；经过 source-admission 后得到 3,747,958 条 admitted source-observation records，用于 Reference entity distribution、comment reference density、自引用和 external-reference orientation 等描述性分析。第三，**quotient-eligible records** 为其中可映射到项目端点的 1,586,047 条记录，聚合后形成 Project-level RefQN；该网络完整节点域包含 6,506 个项目节点，其中 6,505 个节点有边观测。完整有向表包含 9,884 条边（含 289 条 self-loops），跨项目视图包含 9,595 条边。第四，**最大连通子图**指 Project-level RefQN 的无向派生结构视图中用于聚类系数和 Louvain 算法社区检测等需要连通性假设的网络子图，包含 6,367 个节点和 9,462 条无向去重边。","294;3,748,078;3,747,958;1,586,047;6,506;6,505;9,884;289;9,595;6,367;9,462","METHOD_CONFIGURATION","outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json","scanned_input_rows;retained_reference_records;quotient_eligible_records;refq_node_domain;refq_directed_edges_including_self_loops;refq_directed_cross_project_edges;lcc_nodes;lcc_edges;directed_cross_project_edges_lcc_sensitivity","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0103","## 3 研究方法","line 103","因此，第 4.1 节的 Reference behavior 与协作指标主要以 294 个 seed projects 及 3,747,958 条 admitted source-observation records 为基础；第 4.2 节的 source/target role 和结构分析则以 Project-level RefQN 为对象，其中聚类系数和 Louvain 算法社区检测基于其无向结构视图的最大连通子图。更广泛的上游 OSDB 数据基础仅用于项目识别、关系抽取和扩展边界说明，不直接作为本文的实验样本。","4.1;294;3,747,958;4.2","METHOD_CONFIGURATION","outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json","scanned_input_rows;retained_reference_records;quotient_eligible_records;refq_node_domain;refq_directed_edges_including_self_loops;refq_directed_cross_project_edges;lcc_nodes;lcc_edges;directed_cross_project_edges_lcc_sensitivity","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0104","### 3.1 数据来源与样本筛选","line 104","### 3.1 数据来源与样本筛选","3.1","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0106","#### 3.1.1 目标项目选择与数据口径","line 106","#### 3.1.1 目标项目选择与数据口径","3.1;1","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0108","#### 3.1.1 目标项目选择与数据口径","line 108","1. **领域代表性**：基于 dbdb.io 和 DB-Engines 的 DBMS 分类标签识别候选项目，并结合项目描述、主题标签和仓库内容进行人工/规则校验 [@dbdb2026databaseofdatabases; @dbengines2026ranking]；","1;026","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0109","#### 3.1.1 目标项目选择与数据口径","line 109","2. **活跃度阈值**：2023 年至少包含 10 条 Issue 讨论或 Pull Request 提交记录，以保证存在足够可观测协作痕迹；","2;2023;10","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0110","#### 3.1.1 目标项目选择与数据口径","line 110","3. **技术多样性**：覆盖关系型、文档型、键值存储、图数据库、时序数据库、列式数据库、NewSQL/HTAP 等主要 DBMS 类型，允许项目包含多类型技术组件；","3","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0111","#### 3.1.1 目标项目选择与数据口径","line 111","4. **许可证合规性**：优先纳入采用 MIT、Apache 2.0、BSD、GPL、AGPL 等主流开源许可证的公开项目；","4;2.0","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0112","#### 3.1.1 目标项目选择与数据口径","line 112","5. **可观测性要求**：项目需要具有可访问的 GitHub 协作日志、Issue/PR 记录、提交记录或可解析的引用行为。","5","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
