location,exact_text,class,authority,authority_key_or_row,verification_status,notes
Table 4.5 and comment-density prose,"n=294; mean 2.70; median 1.70; std 3.58; min 0.00; max 34.62; skew 5.44; kurtosis 37.11; Q1 1.40; Q3 2.49; AlaSQL 34.6239; pubkey/rxdb 30.9038",SCIENTIFIC_RESULT,"outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv; outputs/reference_quotient_p0_corrected_v3/rq1_project_reference_profiles.csv","comment_reference_density; AlaSQL/alasql; pubkey/rxdb",PASS,High-value examples and display precision unchanged
Table 4.6a and age-association prose,"n=291; rho=-0.1182/0.1182/0.1574/0.1417; p=0.0440/0.0440/0.0072/0.0155; cross_sectional_2023",SCIENTIFIC_RESULT,outputs/reference_quotient_p0_corrected_v3/rq1_project_age_cross_sectional_association.csv,four association rows,PASS,Weak cross-sectional and non-causal boundary retained
section 4.2.0 and Table 4.6b,"6,506 node domain; 6,505 edge-observed; 1 zero-edge; 9,884 directed edges; 1,586,047 total weight; 289 self-loops; 9,595 cross-project edges; 138,974 cross-project weight; 9,547 undirected edges; 6,367/9,462 LCC; 9,510 sensitivity edges",SCIENTIFIC_RESULT,"outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json",network-scale fields,PASS,Edge counts and weights remain distinguished
section 4.2a source observability prose,"294 seeds; 262 positive-out-degree; 32 zero-out-degree",SCIENTIFIC_RESULT,outputs/reference_quotient_p0_corrected_v3/seed_observability_audit.json,seed observability fields,PASS,Expanded-source incompleteness boundary retained
section 4.2a quantile prose and Table 4.6c main,"out-degree Q1/median/Q3/max=3/11/39/352; out-strength=5/26.50/192.75/43,574; HHI=0.0563/0.1589/0.3585/1.0000; top-target share=14.46/28.45/50.00/100.00%",SCIENTIFIC_RESULT,supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/rq2a_source_role_quantiles.csv,four source-role quantile rows,PASS,RQ2a prose now relies on quantiles and maximum only; no mean added
Table 4.6c continuation,"seed-to-seed count 418; weight 7,630; seed-to-expanded count 9,177; weight 131,344",SCIENTIFIC_RESULT,outputs/reference_quotient_p0_corrected_v3/rq2a_source_role_metrics.csv,relation partition totals,PASS,Only continuation caption changed
section 4.2b and Table 4.6d,"observable targets 6,322; seed targets 110; expanded targets 6,212; in-degree median/max 1/42; in-strength median/max 2/3,430; top shares 2.47/16.00/48.99%; denominator 138,974",SCIENTIFIC_RESULT,"outputs/reference_quotient_p0_corrected_v3/rq2b_target_role_metrics.csv; outputs/reference_quotient_p0_corrected_v3/rq2b_target_concentration.json",target-role and concentration fields,PASS,Target coverage and weight concentration unchanged
section 4.2c and Table 4.6e,"undirected 6,506/9,547; components/isolate 55/30; LCC 6,367/9,462; directed sensitivity 9,510; clustering 0.04225758251235413; transitivity 0.008047960961122938; communities 35; modularity 0.7969220043681785",SCIENTIFIC_RESULT,outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json,undirected summary fields,PASS,Algorithmic view only
section 4.2c S4 sensitivity prose,"seed=20260731; community count 32--37; 42/50 ARI-to-canonical below 0.9; minimum ARI 0.6823671359861659; minimum pairwise ARI 0.6092441840471735",SCIENTIFIC_RESULT,supplemental/reference_quotient_v2/outputs_p0v3/S4_community_stability/louvain_stability_summary.json,S4 sensitivity fields,PASS,ACCEPT_WITH_LIMITATION
Table 4.6f and brokerage prose,"sampling 500 nodes; ClickHouse 0.109604 / label 0; OpenSearch 0.090065 / label 6; Spark 0.079806 / label 3; etcd 0.078377 / label 2; RisingWave 0.076435 / label 1",SCIENTIFIC_RESULT,outputs/reference_quotient_p0_corrected_v3/rq2c_structural_brokerage_top50.csv,corrected top-five rows,PASS,Only column header changed to Louvain community label
section 4.2c S5 prose,"minimum Spearman 0.9998339514284217; minimum top-50 overlap 0.82; robustness_alert=FALSE",SCIENTIFIC_RESULT,supplemental/reference_quotient_v2/outputs_p0v3/S5_brokerage_stability/brokerage_stability_summary.json,S5 stability fields,PASS,No new stability statistic
Table 4.7,"10 include_mixed categories with n and three medians including Object Oriented and RDF",SCIENTIFIC_RESULT,outputs/reference_quotient_p0_corrected_v3/rq3_subdomain_descriptive_comparison.csv,all ten include_mixed category rows,PASS,All table cells unchanged
Table 4.8,"11 features with include/exclude FDR-adjusted p and epsilon-squared plus cross-mode status",SCIENTIFIC_RESULT,outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv,all eleven feature rows,PASS,All table cells unchanged
appendix A.1 provenance identity,"P0 implementation 25c6ef3f49af04e916f10e129d976ce7c2119fd8; accepted result 2d284f4bc83c42ba6555a09a2e42693c5490b827; study year 2023",PROVENANCE_IDENTITY,outputs/reference_quotient_p0_corrected_v3/manifest.json,implementation and accepted-result identity,PASS,Provenance unchanged
appendix A.1 runtime identity,"P0 Python 3.9.13 pandas 1.4.4 NumPy 1.26.4 SciPy 1.13.1 NetworkX 3.1 GH-CoRE 2.3.1; supplemental Python 3.9.13 pandas 1.5.3 NumPy 1.26.4 SciPy 1.13.1 NetworkX 3.1 GH-CoRE 2.3.1",METHOD_CONFIGURATION,"outputs/reference_quotient_p0_corrected_v3/manifest.json; supplemental/reference_quotient_v2/outputs_p0v3/manifest.json",runtime identity,PASS,Separate frozen runtimes retained
appendix A.1 manifest identity,"P0 manifest be802b9df223c99bc2089a76ae9ec6e0b6047ab0c58237a5fc3050b51dcc9776; supplemental manifest 78d07fbda2a045ba309a1cfcb23a68ca2baafa910008b6483c0c4e0acf9211bd",PROVENANCE_IDENTITY,"outputs/reference_quotient_p0_corrected_v3/manifest.json; supplemental/reference_quotient_v2/outputs_p0v3/manifest.json",manifest SHA-256 identities,PASS,Frozen package identities retained
appendix A.1 stage statuses,"S4 ACCEPT_WITH_LIMITATION; S7 KEPT_FIXED_OBJECT; G09 PASS",PROVENANCE_IDENTITY,"supplemental/reference_quotient_v2/outputs_p0v3/S4_community_stability; docs/freeze/ch5_refq_p0v3_s7_fixed_object_overlap_runtime_gate_v1.md",stage status fields,PASS,No new S7 claim
appendix A.2 flow audit,"3,748,078 scanned; 3,747,958 admitted; 120 out-of-seed; 1,586,047 quotient-eligible; 9,884 directed edges; 289 self-loops; 9,595 cross-project edges",SCIENTIFIC_RESULT,"outputs/reference_quotient_p0_corrected_v3/membership_audit.json; outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json",flow and graph audit fields,PASS,L8 flow closure retained
appendix A.2 observation audit,"294 seeds; 6,212 expanded targets; 262 positive-out-degree seeds; 32 zero-out-degree seeds",SCIENTIFIC_RESULT,outputs/reference_quotient_p0_corrected_v3/seed_observability_audit.json,observation fields,PASS,Expanded targets remain not source-complete
numeric closure,"UNMAPPED_FINAL_SCIENTIFIC_NUMERIC_CLAIMS=0; SCIENTIFIC_VALUE_VERIFICATION_FAILURES=0; NEW_SCIENTIFIC_NUMERIC_VALUES=0; CHANGED_SCIENTIFIC_NUMERIC_VALUES=0",NON_SCIENTIFIC_FORMATTING,this audit,closure metrics,PASS,Actual finalqa rescan; removed tokens occur only in deleted duplicate prose or duplicate L8 sentence
