execution_id,source_section,old_exact_excerpt,final_exact_excerpt,change_reason,scientific_authority,authority_key_or_row,presentation_decision,numeric_transform,semantic_boundary,verification_status,notes
E011,RQ1 self-reference,"WiredTiger ... 100,190 条引用中 84,239 条为自引","WiredTiger 的自引率为 84.08%（15,332 条引用中 12,891 条为自引）","replace mixed historical authority","outputs/reference_quotient_p0_corrected_v3/rq1_project_reference_profiles.csv","project_id=2944302; wiredtiger/wiredtiger","KEEP_CURRENT_SCIENCE","100190/84239 -> 15332/12891","ratio is current profile row","PASS",""
E012,RK003,"其中 100,190 条引用中 84,239 条为自引","其中 15,332 条引用中 12,891 条为自引","retain corrected WiredTiger finding","outputs/reference_quotient_p0_corrected_v3/rq1_project_reference_profiles.csv","RK003","RETAIN_SEMANTICALLY","current row values","internal/external evidence composition only","PASS",""
E013,Table 4.3,"活跃议题数 | 740.06 | 85.50 | 2,025.60","活跃议题数 | 294 | 739.92 | 85.50 | 2,025.65","current descriptive profile","outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv","active_issue_num","KEEP_OLD_PROSE_UPDATE_VALUES","add n; current mean/std","协作规模 descriptive only","PASS",""
E014,Table 4.4,"新增议评率 | 2.08 | 1.72","新增议评率 | 294 | 2.08 | 1.72","restore n and current schema","outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv","comment_related_id_count/active_issue_num","KEEP_OLD_PROSE_UPDATE_VALUES","add n","互动强度 descriptive only","PASS",""
E015,Table 4.5,"新增评引率 | 2.70 | 1.70","新增评引率 | 294 | 2.70 | 1.70","restore n and current schema","outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv","comment_body_ref_count/comment_related_id_count","KEEP_OLD_PROSE_UPDATE_VALUES","add n","comment Reference density descriptive only","PASS",""
E016,RK004,"社区规模、互动强度与评论 Reference density","协作规模、互动强度与评论 Reference density","retain semantic keypoint","outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv","RK004","RETAIN_SEMANTICALLY","739.92 current mean","no causal chain","PASS",""
E017,Table 4.6a,"self-reference ratio rho=-0.1063 (p=0.0703)","self_reference_ratio rho=-0.1182 (p=0.0440)","current cross-sectional association","outputs/reference_quotient_p0_corrected_v3/rq1_project_age_cross_sectional_association.csv","four association rows","KEEP_CURRENT_SCIENCE","current rho and p","cross-sectional 2023 only","PASS",""
E018,RK005,"四项 Spearman 相关的绝对值均不超过 0.155","四项 Spearman 相关的绝对值均不超过 0.158","retain age-boundary keypoint","outputs/reference_quotient_p0_corrected_v3/rq1_project_age_cross_sectional_association.csv","RK005","RETAIN_SEMANTICALLY","current association values","not longitudinal or causal","PASS",""
E019,Table 4.6b,"1,586,117; 9,605; 9,557; 6,376/9,472","1,586,047; 9,595; 9,547; 6,367/9,462","current graph scale","outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; rq2c_undirected_view_summary.json","refq_weight_including_self_loops; edge counts; LCC","KEEP_CURRENT_SCIENCE","all scale fields corrected","edge count versus weight preserved","PASS",""
E020,Table 4.6c,"mean/median/Q1/Q3/max for degree, strength, relation counts, HHI","Q1/Median/Q3/Max for out-degree, out-strength, HHI and top-target share; relation partition totals in Block B","no unsupported mean restoration","supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/rq2a_source_role_quantiles.csv; outputs/reference_quotient_p0_corrected_v3/rq2a_source_role_metrics.csv","quantile rows and seed relation totals","COMPACT_MERGED_NO_NEW_MEAN","remove unavailable means","source role remains observed seed-side role","PASS",""
E021,Table 4.6d,"Observable targets 6,332; seed 111; expanded 6,221","Observable targets 6,322; seed 110; expanded 6,212","current target-role values","outputs/reference_quotient_p0_corrected_v3/rq2b_target_role_metrics.csv; rq2b_target_concentration.json","target counts and top shares","RESTORE_OLD_SCHEMA_CORRECT_VALUES","6,332/111/6,221 -> 6,322/110/6,212","target coverage denominator is 294 seeds","PASS",""
E022,Table 4.6e,"34 communities; modularity 0.797309595","35 algorithmic communities; modularity 0.7969220043681785","current canonical graph and S4 boundary","outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json; supplemental/reference_quotient_v2/outputs_p0v3/S4_community_stability/louvain_stability_summary.json","canonical 35; S4 range 32--37; ARI limits","COMPACT_TABLE_S4_LIMITATION_IN_PROSE","current graph rows","algorithmic modular neighborhood view","PASS","S4 ACCEPT_WITH_LIMITATION"
E023,Table 4.6f,"ClickHouse ... 0.109637; Community","ClickHouse ... 0.109604; algorithmic community label","current brokerage top-five","outputs/reference_quotient_p0_corrected_v3/rq2c_structural_brokerage_top50.csv","top-five rows","RESTORE_OLD_SCHEMA_CORRECT_VALUES","current betweenness and IDs","no causal brokerage semantics","PASS",""
E024,S5 prose,"无 S5 stability statement","minimum Spearman 0.9998339514284217; minimum top-50 overlap 0.82; robustness_alert=FALSE","retain frozen robustness boundary","supplemental/reference_quotient_v2/outputs_p0v3/S5_brokerage_stability/brokerage_stability_summary.json","S5 summary","KEEP_QA_CORRECTION","current summary values","ranking stability is conditional sampling evidence","PASS",""
E025,Table 4.7,"8 selected category rows","complete current 10-category include_mixed rows including Object Oriented and RDF","reproducible current schema","outputs/reference_quotient_p0_corrected_v3/rq3_subdomain_descriptive_comparison.csv","include_mixed categories","FULL_CURRENT_10_CATEGORY","current medians and n","labels are metadata, not communities","PASS",""
E026,Table 4.8,"compact p and epsilon-squared summary with stale values","compact include-mixed/exclude-mixed FDR p and epsilon-squared with current values","restore compact main-text schema","outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv","all 11 feature rows","RESTORE_COMPACT_CORRECT_VALUES","round p and epsilon-squared to 4 decimals","label-mode sensitivity retained","PASS",""
E027,discussion 5.4,"9,605 directed and 9,557 undirected edges","9,595 directed and 9,547 undirected edges; canonical 35-community reference realization","synchronize repeated result","outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json","RQ2c summary","KEEP_CURRENT_SCIENCE","current edge values","algorithmic/non-causal boundary","PASS",""
E028,appendix A.1,"Branch: main; frozen output root and implementation identity","branch ch5-refq-repository-identity-correction-v1; P0-v3 and supplemental identities, runtimes, manifests and S4/S7 status","provenance correction","outputs/reference_quotient_p0_corrected_v3/manifest.json; supplemental/reference_quotient_v2/outputs_p0v3/manifest.json","manifest and runtime keys","MERGE_OLD_AND_QA","identity fields replaced","P0 implementation/result distinction preserved","PASS",""
E029,appendix A.2,"1,586,117 quotient-eligible records; 6,221 expanded targets","3,748,078 scanned; 3,747,958 admitted; 120 out-of-seed; 1,586,047 quotient-eligible; 6,212 expanded targets","provenance and observation correction","outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; seed_observability_audit.json","flow and target-only fields","KEEP_CURRENT_SCIENCE","current values","expanded targets not source-complete","PASS",""
E030,appendix A.4,"Louvain communities are algorithmic partitions ...","canonical 35-community reference realization; S4 sensitivity 32--37 and ARI limits; S5 stability; expanded targets not source-complete; no second-order projection","boundary completion","supplemental/reference_quotient_v2/outputs_p0v3/S4_community_stability/louvain_stability_summary.json; S5","S4;S5;S7","MERGE_OLD_AND_QA","current frozen values","algorithmic and weaker-semantic boundaries","PASS","S7=KEPT_FIXED_OBJECT"
