forensic_id,semantic_claim_id,manuscript_version,section,location,exact_text,composite_class,displayed_numbers,numerator_or_components,denominator_or_total,implied_relation,exact_recomputed_value,display_transform,arithmetic_closure,population_or_universe,population_closure,authority_files,authority_keys_or_rows,authority_coherence,old_vs_qa_status,unit_semantics,current_reconciliation_action,manual_review_required,notes
F011,TARGET_DISTRIBUTION_COMPACT_OR_FULL,OLD,RQ1,lines 413-419,"| GitHub_Service_External_Links | 1,629,357 | 43.47 |; | PullRequest | 672,019 | 17.93 |; | Actor | 475,663 | 12.69 |; | Issue | 281,662 | 7.51 |; | Commit | 255,013 | 6.80 |; | 其他已导出类型 | 434,364 | 11.59 |; | 合计 | 3,748,078 | 100.00 |",DISPLAY_AGGREGATION,"1,629,357;672,019;475,663;281,662;255,013;434,364;3,748,078;43.47%;17.93%;12.69%;7.51%;6.80%;11.59%;100.00%","1,629,357;672,019;475,663;281,662;255,013;434,364","3,748,078","top five + Other = total","3,748,078; 434,364 = total - top five","ROUND_2_PERCENT; INTEGER_FORMAT",PASS,"historical target distribution",FAIL,"outputs/reference_quotient_p0_frozen/rq1_referenced_entity_distribution.csv","historical target rows",HISTORICAL_ONLY,OLD_STALE_QA_CORRECT,"Reference RECORD distribution","replace with current complete rows",YES,"Unchanged display cases: External Links 43.47%; PullRequest 17.93%; Actor 12.69%; Issue 7.51%; Commit 6.80%."
F012,TARGET_DISTRIBUTION_COMPACT_OR_FULL,QA,RQ1,lines 408-428,"GitHub_Service_External_Links、PullRequest、Actor、Issue、Commit 是当前被引端的主要类型。GitHub service/external links、完整变更单元、社会实体和协作工件共同构成 observed target distribution。",TOTAL_WITH_PARTITION,"1,629,327;671,986;475,651;281,648;255,009;193,391;74,468;62,641;32,788;24,102;13,355;13,126;8,076;5,779;3,775;1,950;581;300;5;43.47%;17.93%;12.69%;7.51%;6.80%;5.16%;1.99%;1.67%;0.87%;0.64%;0.36%;0.35%;0.22%;0.15%;0.10%;0.05%;0.02%;0.01%;0.00%","19 current target rows","3,747,958","sum of 19 target rows = admitted total","3,747,958; displayed shares sum 99.99 due rounding","ROUND_2_PERCENT; INTEGER_FORMAT",PASS,"current admitted source-observation target universe",PASS,"outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv","all 19 current target rows",SINGLE_FROZEN_AUTHORITY,OLD_STALE_QA_CORRECT,"Reference RECORD distribution","retain current full rows",NO,"Current long-tail total is 434,337; old Other was 434,364."
F013,WIREDTIGER_SELF_RATIO,OLD,RQ1,lines 434;440,"WiredTiger 的自引率为 84.08%（100,190 条引用中 84,239 条为自引）。",RATIO_WITH_COUNTS,"84.08%;100,190;84,239","84,239 self","100,190 total","84,239/100,190","0.8407924942609043 = 84.07924942609043%","ROUND_2_PERCENT",PASS,"historical relation-row universe; current profile is Reference-record universe",FAIL,"data/github_osdb_data/analysis_results/issue_referencing_metrics/df_issue_referencing_metrics.csv; docs/freeze/ch5_refq_repository_identity_correction_c2_relation_diff_v1.csv; external OLD manuscript","total_ref_count; relation_rows_v1; relation_rows_v2; manuscript numerator",MIXED_AUTHORITY_INCONSISTENT,OLD_MIXED_AUTHORITY_QA_CORRECT,"relation-row count versus Reference RECORD count","replace with 15,332 and 12,891",YES,"100,190 has exact historical field origin; 84,239 is manuscript-only/transcription provenance. Both display 84.08%."
F014,WIREDTIGER_SELF_RATIO,QA,RQ1,line 434,"从项目 profile 看，WiredTiger 的自引率为 84.08%（15,332 条引用中 12,891 条为自引）。",RATIO_WITH_COUNTS,"84.08%;15,332;12,891","12,891 self","15,332 total","12,891/15,332","0.8407905035220454 = 84.07905035220455%","ROUND_2_PERCENT",PASS,"one current P0-v3 project profile row",PASS,"outputs/reference_quotient_p0_corrected_v3/rq1_project_reference_profiles.csv","repo_name=wiredtiger/wiredtiger; total_reference_records; self_reference_records; self_reference_ratio",SINGLE_FROZEN_AUTHORITY,OLD_MIXED_AUTHORITY_QA_CORRECT,"Reference RECORD profile","retain current row",NO,"Exact current ratio and row identity."
F015,REFQN_SCALE_WEIGHT_EDGES,OLD,RQ2,line 534;table 4.6b lines 540-543,"完整有向表包含 9,894 条边和总权重 1,586,117，其中 289 条为 self-loops；排除自环后得到 9,605 条 directed cross-project RefQ edges，总权重为 139,044。",TOTAL_WITH_PARTITION,"6,515;6,514;9,894;1,586,117;289;9,605;139,044;9,557;6,376;9,472","1,447,073 self-loop weight;139,044 cross-project weight;289 self-loop edges;9,605 cross-project edges","1,586,117 total weight;9,894 directed edges","1,447,073+139,044=1,586,117; 289+9,605=9,894","1,586,117; 139,044; 9,894","INTEGER_FORMAT",PASS,"historical quotient-eligible universe",FAIL,"outputs/reference_quotient_p0_frozen/quotient_construction_audit.json; docs/ch5_refq_final_supplemental_human_decision_summary_v2.md","historical weight and edge keys",HISTORICAL_ONLY,OLD_STALE_QA_CORRECT,"aggregated Reference-record weight != EDGE_COUNT","replace with 1,586,047 and 138,974",YES,"Historical values close internally but are superseded."
F016,REFQN_SCALE_WEIGHT_EDGES,QA,RQ2,line 487;table 4.6b lines 493-496,"完整有向表包含 9,884 条边和总权重 1,586,047，其中 289 条为 self-loops；排除自环后得到 9,595 条 directed cross-project RefQ edges，总权重为 138,974。",TOTAL_WITH_PARTITION,"6,506;6,505;9,884;1,586,047;289;9,595;138,974;9,547;6,367;9,462","1,447,073 self-loop weight;138,974 cross-project weight;289 self-loop edges;9,595 cross-project edges","1,586,047 total weight;9,884 directed edges","1,447,073+138,974=1,586,047; 289+9,595=9,884","1,586,047; 138,974; 9,884","INTEGER_FORMAT",PASS,"current quotient-eligible and cross-project universe",PASS,"outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/evidence_universe_flow.csv","quotient audit; flow rows",MULTIPLE_FROZEN_AUTHORITIES_SAME_UNIVERSE,OLD_STALE_QA_CORRECT,"eligible Reference-record weight; EDGE_COUNT","retain current scale",NO,"Exact current partition."
F017,SOURCE_ROLE_PARTITION,OLD,RQ2a,line 549,"跨项目 relation 中，419 条为 seed-to-seed，权重合计 7,631；9,186 条为 seed-to-expanded，权重合计 131,413。",TOTAL_WITH_PARTITION,"419;7,631;9,186;131,413;9,605;139,044","419 seed-to-seed;9,186 seed-to-expanded;7,631 weight;131,413 weight","9,605 relations;139,044 weight","419+9,186=9,605; 7,631+131,413=139,044","9,605; 139,044","INTEGER_FORMAT",PASS,"historical cross-project relation universe",FAIL,"outputs/reference_quotient_p0_frozen/rq2a_source_role_metrics.csv","seed-to-seed and seed-to-expanded aggregates",HISTORICAL_ONLY,OLD_STALE_QA_CORRECT,"relation EDGE_COUNT and weight","replace with current 418/9,177 and 7,630/131,344",YES,"Historical partition closes."
F018,SOURCE_ROLE_PARTITION,QA,RQ2a,line 499,"跨项目 relation 中，418 条为 seed-to-seed、权重合计 7,630；9,177 条为 seed-to-expanded、权重合计 131,344。",TOTAL_WITH_PARTITION,"418;7,630;9,177;131,344;9,595;138,974","418 seed-to-seed;9,177 seed-to-expanded;7,630 weight;131,344 weight","9,595 relations;138,974 weight","418+9,177=9,595; 7,630+131,344=138,974","9,595; 138,974","INTEGER_FORMAT",PASS,"current cross-project RefQ relation universe",PASS,"outputs/reference_quotient_p0_corrected_v3/rq2a_source_role_metrics.csv","seed_to_seed_relation_count; seed_to_seed_weight; seed_to_expanded_relation_count; seed_to_expanded_weight",SINGLE_FROZEN_AUTHORITY,OLD_STALE_QA_CORRECT,"relation EDGE_COUNT and weight","retain current partition",NO,"Exact current partition."
F019,TARGET_ROLE_PARTITION_CONCENTRATION,OLD,RQ2b,lines 565-582;table 4.6d lines 573-579,"跨项目 edge table 中共有 6,332 个 observable targets，其中 111 个是 analysis seed projects，6,221 个是 expanded target projects。target weight 的 top-1、top-10 和 top-50 share 分别为 2.47%、15.99% 和 48.97%。",TOTAL_WITH_PARTITION,"6,332;111;6,221;42;2.47%;15.99%;48.97%","111 seed targets;6,221 expanded targets","6,332 observable targets","111+6,221=6,332","6,332","INTEGER_FORMAT; ROUND_2_PERCENT",PASS,"historical cross-project target population",FAIL,"outputs/reference_quotient_p0_frozen/rq2b_target_role_metrics.csv","observable target counts; top weight shares",HISTORICAL_ONLY,OLD_STALE_QA_CORRECT,"target project count and weight share","replace with current 6,322/110/6,212",YES,"Top-1 display stays 2.47%; target population and top-10/top-50 support move."
F020,TARGET_ROLE_PARTITION_CONCENTRATION,QA,RQ2b,lines 514-529;table 4.6d lines 520-527,"跨项目 edge table 中共有 6,322 个 observable targets，其中 110 个是 analysis seed projects，6,212 个是 expanded target projects。target weight 的 top-1、top-10 和 top-50 share 分别为 2.47%、16.00% 和 48.99%。",TOTAL_WITH_PARTITION,"6,322;110;6,212;42;2.47%;16.00%;48.99%","110 seed targets;6,212 expanded targets","6,322 observable targets","110+6,212=6,322","6,322","INTEGER_FORMAT; ROUND_2_PERCENT",PASS,"current cross-project target population",PASS,"outputs/reference_quotient_p0_corrected_v3/rq2b_target_role_metrics.csv","observable target counts; target_role; cumulative_weight_share",SINGLE_FROZEN_AUTHORITY,OLD_STALE_QA_CORRECT,"target project count and weight share","retain current target values",NO,"Exact current partition."
F021,TARGET_COVERAGE_RATIO,OLD,RQ2b,line 582,"最大 in-degree 42 对应 14.29% 的 seed coverage。",RATIO_WITH_COUNTS,"42;294;14.29%","42 target-pointing seeds","294 analysis seed sources","42/294","0.14285714285714285 = 14.285714285714285%","ROUND_2_PERCENT",PASS,"historical target table with same seed denominator",FAIL,"outputs/reference_quotient_p0_frozen/rq2b_target_role_metrics.csv","maximum in_degree; analysis_seed_count",HISTORICAL_ONLY,OLD_STALE_QA_CORRECT,"EDGE_COUNT over seed project count","retain only after current target row check",YES,"Display unchanged; historical target population differs."
F022,TARGET_COVERAGE_RATIO,QA,RQ2b,line 529,"最大 in-degree 42 对应 14.29% 的 seed coverage。",RATIO_WITH_COUNTS,"42;294;14.29%","42 target-pointing seeds","294 analysis seed sources","42/294","0.14285714285714285 = 14.285714285714285%","ROUND_2_PERCENT",PASS,"current target coverage and 294-seed sample",PASS,"outputs/reference_quotient_p0_corrected_v3/rq2b_target_role_metrics.csv; outputs/reference_quotient_p0_corrected_v3/membership_audit.json","maximum in_degree; analysis_seed_count",SINGLE_FROZEN_AUTHORITY,OLD_STALE_QA_CORRECT,"EDGE_COUNT over seed project count","retain after row identity check",NO,"Current arithmetic and population close."
F023,UNDIRECTED_LCC_SCALE,OLD,RQ2c,line 586;table 4.6e lines 594-599,"完整无向视图包含 6,515 个节点、9,557 条边、55 个 connected components 和 30 个 isolates；最大连通子图包含 6,376 个节点和 9,472 条边，覆盖完整节点域的 97.87%。",MULTI_AUTHORITY_COMPOSITE,"6,515;9,557;55;30;6,376;9,472;97.87%;0.042198;0.008046","9,605 directed edges collapsed to 9,557 undirected;6,376 LCC nodes","6,515 node domain;6,376 LCC nodes","LCC subset; 6,376/6,515","0.9786646201074444 = 97.86646201074444%","PERCENT_X100_ROUND_2; INTEGER_FORMAT",PASS,"historical undirected graph and LCC",FAIL,"outputs/reference_quotient_p0_frozen/rq2c_undirected_view_summary.json; supplemental/reference_quotient_v1/outputs/S2_weight_sensitivity/edge_weight_sensitivity.csv","undirected_edges; components; isolates; lcc_nodes; lcc_edges",HISTORICAL_ONLY,OLD_STALE_QA_CORRECT,"NODE_COUNT; EDGE_COUNT; coverage","replace with 6,506/9,547 and 6,367/9,462",YES,"LCC edge total is unchanged while node population changes."
F024,UNDIRECTED_LCC_SCALE,QA,RQ2c,line 532;table 4.6e lines 540-548,"完整无向视图包含 6,506 个节点、9,547 条边、55 个 connected components 和 30 个 isolates；最大连通子图包含 6,367 个节点和 9,462 条边，覆盖完整节点域的 0.9786351060559484。",MULTI_AUTHORITY_COMPOSITE,"6,506;9,547;55;30;6,367;9,462;0.9786351060559484;0.04225758251235413;0.008047960961122938;35;0.7969220043681785","9,595 directed edges collapsed to 9,547 undirected;6,367 LCC nodes","6,506 node domain;6,367 LCC nodes","9,595 to 9,547 first-order view;6,367/6,506","0.9786351060559484","PERCENT_RATIO_EXACT; INTEGER_FORMAT",PASS,"current undirected graph and LCC",PASS,"outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json; supplemental/reference_quotient_v2/outputs_p0v3/S2_weight_sensitivity/edge_weight_sensitivity.csv","undirected_edges; components; isolates; lcc_nodes; lcc_edges; lcc_coverage",MULTIPLE_FROZEN_AUTHORITIES_SAME_UNIVERSE,OLD_STALE_QA_CORRECT,"NODE_COUNT; EDGE_COUNT; coverage","retain current structural summary",NO,"Louvain/modularity values are contextual and not arithmetic components."
F025,CATEGORY_COMPLEMENT_SHARES,OLD,RQ3,lines 576-585,"表 4.7 中每个 category 同时报告 Self-reference median 与 External-reference median，例如 Document 为 44.44% 与 55.56%，Relational 为 40.42% 与 59.58%。",COMPLEMENTARY_SHARES,"Document 44.44%+55.56%; Graph 39.88%+60.12%; Key-value 37.50%+62.50%; Object Oriented 49.41%+50.59%; RDF 41.41%+58.59%; Relational 40.42%+59.58%; Search Engine 35.97%+64.03%; Time Series 41.02%+58.98%; Vector 45.22%+54.78%; Wide column 42.58%+57.42%","self-reference median; external-reference median","100% per category","displayed self median + external median = 100%","100% at displayed precision","ROUND_2_PERCENT",PASS,"historical include_mixed category medians",FAIL,"outputs/reference_quotient_p0_frozen/rq3_subdomain_descriptive_comparison.csv","category; median share rows",HISTORICAL_ONLY,OLD_STALE_QA_CORRECT,"percentage medians; not record counts","review against current category output",YES,"Display complement is valid at displayed precision."
F026,CATEGORY_COMPLEMENT_SHARES,QA,RQ3,lines 570;576-585,"include_mixed 描述统计显示，不同 category 的 external-reference share 中位数存在一定范围差异；例如 Object Oriented 为 50.59%、Search Engine 为 64.03%。",COMPLEMENTARY_SHARES,"Document 44.44%+55.56%; Graph 39.88%+60.12%; Key-value 37.50%+62.50%; Object Oriented 49.41%+50.59%; RDF 41.41%+58.59%; Relational 40.42%+59.58%; Search Engine 35.97%+64.03%; Time Series 41.02%+58.98%; Vector 45.22%+54.78%; Wide column 42.58%+57.42%","self-reference median; external-reference median","100% per category","displayed self median + external median = 100%","100% at displayed precision","ROUND_2_PERCENT",PASS,"current include_mixed category medians",PASS,"outputs/reference_quotient_p0_corrected_v3/rq3_subdomain_descriptive_comparison.csv","category; median share rows",SINGLE_FROZEN_AUTHORITY,OLD_STALE_QA_CORRECT,"percentage medians","retain current category rows",NO,"No current QA defect."
F027,AGE_COMPLEMENT_CORRELATION,OLD,RQ1,line 507;table 4.6a lines 513-516,"self-reference ratio 与项目年龄的 Spearman rho=-0.1063；external-reference share 的 rho=0.1063；二者是互补比例，因此符号相反。",COMPLEMENTARY_SHARES,"-0.1063;0.1063;0.0703","self-reference rho; external-reference rho","same 291-project sample","rho_external = -rho_self","-0.1063 and 0.1063","INTEGER_DECIMAL",PASS,"historical 291-project cross-sectional 2023 sample",FAIL,"outputs/reference_quotient_p0_frozen/rq1_project_age_cross_sectional_association.csv","association rows",HISTORICAL_ONLY,OLD_STALE_QA_CORRECT,"Spearman rho complement","replace with current association values",YES,"Semantic complement, not sum-to-one percentages."
F028,AGE_COMPLEMENT_CORRELATION,QA,RQ1,line 474-479,"self-reference ratio 与 external-reference share 的相关系数绝对值相同、符号相反，来自二者在当前定义下的互补关系。",COMPLEMENTARY_SHARES,"-0.1182;0.1182;0.0440","self-reference rho; external-reference rho","same 291-project sample","rho_external = -rho_self","-0.1182 and 0.1182","INTEGER_DECIMAL",PASS,"current 291-project cross-sectional 2023 sample",PASS,"outputs/reference_quotient_p0_corrected_v3/rq1_project_age_cross_sectional_association.csv","association rows",SINGLE_FROZEN_AUTHORITY,OLD_STALE_QA_CORRECT,"Spearman rho complement","retain current association values",NO,"Current semantics close."
F029,APPENDIX_FLOW_AND_AUDIT,OLD,appendix,line 783,"quotient_construction_audit.json reports PASS, preserves direction, and reports 3,748,078 fine-grained records, 1,586,117 quotient-eligible records, 9,894 directed edges including self-loops, 289 self-loops and 9,605 directed cross-project edges.",PIPELINE_FLOW,"3,748,078;1,586,117;9,894;289;9,605","1,447,073 self-loop weight;139,044 cross-project weight;289 self-loop edges;9,605 cross-project edges","1,586,117 eligible weight;9,894 directed edges","1,447,073+139,044=1,586,117;289+9,605=9,894","1,586,117; 9,894","INTEGER_FORMAT",PASS,"historical appendix authority",FAIL,"outputs/reference_quotient_p0_frozen/quotient_construction_audit.json","historical audit keys",HISTORICAL_ONLY,OLD_STALE_QA_CORRECT,"record count; aggregated weight; edge count","replace with current appendix identity",YES,"Repeats superseded authority."
F030,APPENDIX_FLOW_AND_AUDIT,QA,appendix,line 739,"The source-admission flow contains 3,748,078 scanned input records, 3,747,958 admitted source-observation records, 120 out-of-seed source records, and 1,586,047 quotient-eligible records. The corrected quotient audit reports 1,586,047 total weight, 9,884 directed edges including self-loops, 289 self-loops and 9,595 directed cross-project edges.",PIPELINE_FLOW,"3,748,078;3,747,958;120;1,586,047;9,884;289;9,595","3,748,078 scanned;120 out-of-seed;1,586,047 eligible;289 self-loop edges;9,595 cross-project edges","3,747,958 admitted;1,586,047 total weight;9,884 directed edges","3,748,078-120=3,747,958;1,586,047=1,447,073+138,974;9,884=289+9,595","3,747,958; 1,586,047; 9,884","INTEGER_FORMAT",PASS,"current S1 and P0-v3 universe",PASS,"supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/evidence_universe_flow.csv; outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json","flow and quotient audit keys",MULTIPLE_FROZEN_AUTHORITIES_SAME_UNIVERSE,OLD_STALE_QA_CORRECT,"record count; aggregated edge weight; edge count","retain current appendix identity",NO,"Exact current closure and unit labels."
