claim_id,section,source_location,old_text,new_text,frozen_authority,authority_value_verified,review_required,migration_status,notes
N030,RQ3,lines 646-656,Old Table 4.8 FDR p and epsilon-squared values for 11 features,Replace every row from corrected CSV,outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv,YES,YES,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N031,RQ3,line 658,Out-degree H 23.5972/raw p .00499/FDR .01614/epsilon .04135; exclude H 9.9027/raw .12881/FDR .23615/epsilon .02012,Replace both mode-specific statistics with corrected rows,outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N032,RQ3,line 662,Project-age include H 33.0951/raw .000129/FDR .001414/epsilon .06865; exclude H 13.3047/raw .03845/FDR .10572/epsilon .03805,Use corrected project_age_years_at_2023_end rows,outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N033,discussion,line 697,"9,605 directed and 9,557 undirected edges","Use 9,595 and 9,547; preserve operator provenance",outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N034,validity,line 726,Approximate betweenness fixed 500-node sample,500 remains; retain candidate-only interpretation,outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json; supplemental/reference_quotient_v2/outputs_p0v3/manifest.json,YES,NO,VERIFIED_UNCHANGED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N035,appendix A,lines 767-777,Branch main; commit 920286e; output p0_frozen; data version v1; pandas 1.4.4; hash coverage 296/296 and 30/30,"Replace identity with current branch, P0/package commits, roots, runtime pandas 1.5.3, package status and hashes", supplemental/reference_quotient_v2/outputs_p0v3/manifest.json; outputs/reference_quotient_p0_corrected_v3/manifest.json,YES,YES,SEMANTIC_REWRITE_APPLIED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N036,appendix A,lines 783,"3,748,078; 1,586,117; 9,894; 289; 9,605","Use 3,747,958 admitted; 1,586,047 eligible; 9,884; 289; 9,595",outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N037,appendix A,line 785,"294 seeds; 6,221 expanded targets; 262 positive-out-degree; 32 zero-out-degree","Use 294; 6,212 expanded; 262; 32",outputs/reference_quotient_p0_corrected_v3/seed_observability_audit.json,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N038,appendix A,line 803,2023 cross-sectional; Louvain communities algorithmic; brokerage candidate; no second-order projection,Retain 2023 and no-second-order statements; add S4 limitation statistics when numeric,outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json; supplemental/reference_quotient_v2/outputs_p0v3/S4_community_stability/louvain_stability_summary.json,YES,NO,SEMANTIC_REWRITE_APPLIED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N039,main-result repetition,lines 8/101/113/369/378/534/697/752,Repeated core numeric claims copied across sections,Synchronize all repetitions to one frozen source per claim; keep an old-to-new diff,outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N040,S7 reserve,not currently present,No current S7 numeric claim in manuscript,Do not add unless reviewer requests fixed-object composition; use historical fixed sets only,docs/freeze/ch5_refq_p0v3_s7_fixed_object_overlap_runtime_gate_v1.md; supplemental/reference_quotient_v1/outputs/S7_top_evidence_composition/,YES,YES,VERIFIED_UNCHANGED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
