claim_id,section,location,old_text_or_value,old_authority_if_inferable,frozen_authority_path,new_value_or_action,status,semantic_note,review_required
N011,RQ1,lines 434-442,"WiredTiger 84.08%; 100,190/84,239; SSDB/GreatSQL 0.00%; H2 39.83%",historical project profiles,outputs/reference_quotient_p0_corrected_v3/rq1_project_reference_profiles.csv,"Use corrected wiredtiger/wiredtiger 0.8407905035220454 (15,332 total; 12,891 self); SSDB, GreatSQL, and H2 ratios remain file-backed",VALUE_CHANGE,No example may be retained from intuition,NO
N012,RQ1,lines 452-460,"Active issue mean 740.06; median 85.50; std 2,025.60; max 22,349; skew 6.25; kurtosis 51.99",historical P0 descriptive statistics,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv,"Use active_issue_pr_count row: mean 739.9183673469388; median 85.5; std 2025.6475423946813; max 22349; skew 6.253823898740858; kurtosis 51.98617191839453",VALUE_CHANGE,Descriptive only,NO
N013,RQ1,lines 468-474,"Comment-per-issue mean 2.08; median 1.72; std 1.66; max 15.95; skew 5.36; kurtosis 36.59",historical P0 descriptive statistics,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv,"Use comment_per_issue row exactly",VALUE_CHANGE,No discussion-quality inference,NO
N014,RQ1,lines 480-496,"Comment-reference density mean 2.70; median 1.70; std 3.58; max 34.62; skew 5.44; kurtosis 37.11; AlaSQL 34.6239; pubkey/rxdb 30.9038",historical P0 descriptive statistics,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv; outputs/reference_quotient_p0_corrected_v3/rq1_project_reference_profiles.csv,"Use corrected row: mean 2.695287488845773; median 1.7026388740169658; max 34.62385321100918; named examples remain file-backed",VALUE_CHANGE,No causal or quality interpretation,NO
N015,RQ1,lines 507-516,"n=291; rho -0.1063/0.1063/0.1542/0.1423; p 0.0703/0.0703/0.0084/0.0152",historical P0 age association,outputs/reference_quotient_p0_corrected_v3/rq1_project_age_cross_sectional_association.csv,"Use corrected rho -0.11817282564989658/0.11817282564989658/0.15735877529004005/0.1417469559448153 and file p-values",VALUE_CHANGE,Retain cross-sectional 2023 interpretation,NO
N016,RQ2 scale,lines 534-543/540-543,"1,586,117 total weight; 139,044 cross-project weight; 6,485 observed undirected; 9,520 sensitivity edges; 6,376/9,472 LCC",historical P0 summary,outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json,"Use 1,586,047; 138,974; 6,476; 9,510; 6,367/9,462; 0.9786351060559484 coverage",VALUE_CHANGE,Keep directed/undirected operator distinction,NO
N017,RQ2a,lines 547/553-559,"Out-degree mean 32.67/median 11/Q1 3/Q3 39/max 352; out-strength mean 472.94/median 27.50/Q1 5/Q3 192.75/max 43,574; prior HHI",historical P0 source metrics,outputs/reference_quotient_p0_corrected_v3/rq2a_source_role_metrics.csv; supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/rq2a_source_role_quantiles.csv,"Replace complete metric rows and S6 quantiles; preserve 294-source denominator",VALUE_CHANGE,Source role is seed-complete only,NO
N018,RQ2a,lines 549/557-558,"419 seed-to-seed; 9,186 seed-to-expanded; weights 7,631/131,413",historical P0 source metrics,outputs/reference_quotient_p0_corrected_v3/rq2a_source_role_metrics.csv,"Use 418/9,177 relations and weights 7,630/131,344",VALUE_CHANGE,Expanded means non-seed target membership only,NO
N019,RQ2a,lines 561,"Top source out-strength: OpenSearch 43,574; qdrant 5,013; Hazelcast 5,000; Velox 4,445; CockroachDB 4,236",historical P0 top50,outputs/reference_quotient_p0_corrected_v3/rq2a_source_role_top50.csv,"Replace complete top-five display from corrected top50 file",VALUE_CHANGE,Do not call ranking project value or influence,YES
N020,RQ2b,lines 565/573-577,"6,332 observable; 111 seed; 6,221 expanded; in-degree max 42; in-strength max 3,430",historical P0 target metrics,outputs/reference_quotient_p0_corrected_v3/rq2b_target_role_metrics.csv; outputs/reference_quotient_p0_corrected_v3/seed_observability_audit.json,"Use 6,322 observable; 110 seed; 6,212 expanded; maxima remain 42 and 3,430",VALUE_CHANGE,Target coverage denominator remains 294 seeds,NO
N021,RQ2b,lines 567/578-580,"Top-1/10/50 weight shares 2.47%/15.99%/48.97%",historical P0 concentration,outputs/reference_quotient_p0_corrected_v3/rq2b_target_concentration.json,"Use top_1 0.024680875559457166; top_10 0.15998676011340252; top_50 0.4899261732410379",VALUE_CHANGE,Weight concentration is not importance,NO
N022,RQ2b,line 582,"Max in-degree 42 equals 14.29% seed coverage; 6,200 metadata-unavailable expanded targets",historical P0 target metrics,outputs/reference_quotient_p0_corrected_v3/rq2b_target_role_metrics.csv; outputs/reference_quotient_p0_corrected_v3/rq2b_target_category_type_breakdown.csv,"Retain 42/14.29%; corrected metadata-unavailable target count is 6,191",VALUE_CHANGE,Metadata absence is not domain absence,NO
N023,RQ2c,lines 586/594-599,"9,605 directed; 9,557 undirected; 55/30 components/isolate; LCC 6,376/9,472; clustering 0.042198; transitivity 0.008046",historical P0 summary,outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json,"Use corrected summary: 9,595; 9,547; 55/30; 6,367/9,462; clustering 0.04225758251235413; transitivity 0.008047960961122938",VALUE_CHANGE,First-order undirected view only,NO
N024,RQ2c,lines 588/600-601,"Seed 20260731; 34 communities; modularity 0.797309595",historical P0 summary,outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json; supplemental/reference_quotient_v2/outputs_p0v3/S4_community_stability/louvain_stability_summary.json,"Use seed 20260731; 35 communities; modularity 0.7969220043681785; add 50-run limitation",VALUE_CHANGE,Use algorithmic modular neighborhood view; not true/stable communities,NO
N025,RQ2c,lines 603-613,"Brokerage top-five old degree/strength/betweenness/community rows",historical P0 brokerage top50,outputs/reference_quotient_p0_corrected_v3/rq2c_structural_brokerage_top50.csv,"Replace complete rows from corrected top50; community IDs are algorithmic labels",VALUE_CHANGE,Bridge-like structural position only,YES
N026,RQ3,lines 617,"Two label modes; n_with_replacement may exceed 294",manuscript RQ3 method text,outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv,"Retain both modes and map n_with_replacement per frozen rows",UNCHANGED,No new label mode or test,NO
N027,RQ3,lines 621,"Object Oriented external share 50.59%; Search Engine 64.03%; composition FDR p 0.7994/0.7994/0.6751/0.6751 and 0.7821/0.7821/0.5430/0.1057",historical P0 RQ3 tables,outputs/reference_quotient_p0_corrected_v3/rq3_subdomain_descriptive_comparison.csv; outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv,"Replace example and all FDR values from corrected full rows",VALUE_CHANGE,Descriptive differences are not group effects,YES
N028,RQ3,lines 627-634,"Eight include_mixed category rows with old n and medians",historical P0 RQ3 table,outputs/reference_quotient_p0_corrected_v3/rq3_subdomain_descriptive_comparison.csv,"Rebuild full include_mixed row set including Object Oriented and RDF",VALUE_CHANGE,Category labels remain metadata,YES
N029,RQ3,line 640,"epsilon-squared range 0.0311--0.0686; exclude mode 11 metrics none pass",historical P0 RQ3 summary,outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv,"Use corrected effect rows and rejection flags; do not infer range by hand",VALUE_CHANGE,Retain label-mode sensitivity,NO
N030,RQ3,lines 646-656,"Old Table 4.8 FDR p and epsilon-squared values for 11 features",historical P0 RQ3 table,outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv,"Replace every row from corrected CSV",VALUE_CHANGE,No silent rounding or selective reporting,YES
N031,RQ3,line 658,"Out-degree H 23.5972/raw p .00499/FDR .01614/epsilon .04135; exclude H 9.9027/raw .12881/FDR .23615/epsilon .02012",historical P0 RQ3 table,outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv,"Replace both mode-specific statistics with corrected rows",VALUE_CHANGE,Executed test fields only,NO
N032,RQ3,line 662,"Project-age include H 33.0951/raw .000129/FDR .001414/epsilon .06865; exclude H 13.3047/raw .03845/FDR .10572/epsilon .03805",historical P0 RQ3 table,outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv,"Use corrected project_age_years_at_2023_end rows",VALUE_CHANGE,Cross-sectional attribute,NO
N033,discussion,line 697,"9,605 directed and 9,557 undirected edges",historical P0 summary,outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json,"Use 9,595 and 9,547; preserve operator provenance",VALUE_CHANGE,No edge-count mixing,NO
N034,validity,line 726,"Approximate betweenness fixed 500-node sample",manuscript method text,outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json; supplemental/reference_quotient_v2/outputs_p0v3/manifest.json,"500 remains; retain candidate-only interpretation",UNCHANGED,No causal or organizational claim,NO
N035,appendix A,lines 767-777,"Branch main; commit 920286e; output p0_frozen; data version v1; pandas 1.4.4; hash coverage 296/296 and 30/30",historical P0 appendix, supplemental/reference_quotient_v2/outputs_p0v3/manifest.json; outputs/reference_quotient_p0_corrected_v3/manifest.json,"Replace identity with current branch, P0/package commits, roots, runtime pandas 1.5.3, package status and hashes",SEMANTIC_REWRITE,Commit provenance belongs to frozen package; manuscript source itself remains unversioned,YES
N036,appendix A,lines 783,"3,748,078; 1,586,117; 9,894; 289; 9,605",historical P0 appendix,outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json,"Use 3,747,958 admitted; 1,586,047 eligible; 9,884; 289; 9,595",VALUE_CHANGE,Preserve direction and self-loop policy,NO
N037,appendix A,line 785,"294 seeds; 6,221 expanded targets; 262 positive-out-degree; 32 zero-out-degree",historical P0 appendix,outputs/reference_quotient_p0_corrected_v3/seed_observability_audit.json,"Use 294; 6,212 expanded; 262; 32",VALUE_CHANGE,Expanded targets are not source-complete,NO
N038,appendix A,line 803,"2023 cross-sectional; Louvain communities algorithmic; brokerage candidate; no second-order projection",manuscript boundary text,outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json; supplemental/reference_quotient_v2/outputs_p0v3/S4_community_stability/louvain_stability_summary.json,"Retain 2023 and no-second-order statements; add S4 limitation statistics when numeric",SEMANTIC_REWRITE,Use algorithmic modular neighborhood view,NO
N039,main-result repetition,lines 8/101/113/369/378/534/697/752,"Repeated core numeric claims copied across sections",historical P0 embedded in manuscript,outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json,"Synchronize all repetitions to one frozen source per claim; keep an old-to-new diff",VALUE_CHANGE,No silent reconciliation,NO
N040,S7 reserve,not currently present,"No current S7 numeric claim in manuscript",not applicable,docs/freeze/ch5_refq_p0v3_s7_fixed_object_overlap_runtime_gate_v1.md; supplemental/reference_quotient_v1/outputs/S7_top_evidence_composition/,"Do not add unless reviewer requests fixed-object composition; use historical fixed sets only",UNCHANGED,No corrected top-N reselection or S7 rerun,YES
