claim_id,section,source_location,original_exact_excerpt,migrated_v1_exact_excerpt,qa_final_exact_excerpt,frozen_authority,authority_key_or_row,display_transform,review_required,status,notes
"N011","RQ1","lines 434-442","从极端项目看，自引率高于 80% 的项目占 7.48%。例如 WiredTiger 的自引率为 84.08%（100,190 条引用中 84,239 条为自引），可作为内部 Reference 占比较高的项目案例。自引率低于 20% 的项目占 19.39%，例如 SSDB 与 GreatSQL 在本文统计中的自引率均为 0.00%，可作为外部 Reference 占比较高的项目案例。H2 在本文统计中的自引率为 39.83%，不属于高自引或低自引极端项目，因此不作为极端案例讨论。","从项目 profile 看，WiredTiger 的自引率为 84.08%（15,332 条引用中 12,891 条为自引）；SSDB 与 GreatSQL 的自引率均为 0.00%，H2 的自引率为 39.83%。这些案例仅用于说明当前文件支持的分布位置，不构成项目质量或机制判断。","从项目 profile 看，WiredTiger 的自引率为 84.08%（15,332 条引用中 12,891 条为自引）；SSDB 与 GreatSQL 的自引率均为 0.00%，H2 的自引率为 39.83%。这些案例仅用于说明当前文件支持的分布位置，不构成项目质量或机制判断。","outputs/reference_quotient_p0_corrected_v3/rq1_project_reference_profiles.csv","repo_name=wiredtiger/wiredtiger;self_reference_ratio;self_reference_records;total_reference_records","PERCENT_X100_ROUND_2;INTEGER_FORMAT","NO","PASS_EXACT_CLOSURE","Corrected profile case is literal manuscript text."
"N012","RQ1","lines 452-460","**讨论深度的项目间分化**：新增议评率的均值为 2.08，中位数为 1.72，偏度为 5.36、峰度为 36.59，提示该指标同样右偏且存在高值项目。与活跃议题数相比，新增议评率更强调单个议题内部的交互强度；因此，它补充说明协作上下文组织并不只取决于议题数量。该指标只描述当前观测窗口，不推断讨论质量或问题解决效果。","活跃议题数的均值为 739.92、中位数为 85.50、最大值为 22,349.00，偏度为 6.25、峰度为 51.99，呈现明显右偏。新增议评率的均值为 2.08、中位数为 1.72；新增评引率的均值为 2.70、中位数为 1.70。AlaSQL 的 comment reference density 为 34.6239，pubkey/rxdb 为 30.9038；这些是当前 project profile 的高值案例，不表示讨论质量或因果机制。","活跃议题数的均值为 739.92、中位数为 85.50、最大值为 22,349.00，偏度为 6.25、峰度为 51.99，呈现明显右偏。新增议评率的均值为 2.08、中位数为 1.72；新增评引率的均值为 2.70、中位数为 1.70。AlaSQL 的 comment reference density 为 34.6239，pubkey/rxdb 为 30.9038；这些是当前 project profile 的高值案例，不表示讨论质量或因果机制。","outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv","metric=active_issue_pr_count","ROUND_2;INTEGER_FORMAT","NO","PASS_EXACT_CLOSURE","Descriptive statistic row is literal text."
"N013","RQ1","lines 468-474","**讨论深度的项目间分化**：新增议评率的均值为 2.08，中位数为 1.72，偏度为 5.36、峰度为 36.59，提示该指标同样右偏且存在高值项目。与活跃议题数相比，新增议评率更强调单个议题内部的交互强度；因此，它补充说明协作上下文组织并不只取决于议题数量。该指标只描述当前观测窗口，不推断讨论质量或问题解决效果。","活跃议题数的均值为 739.92、中位数为 85.50、最大值为 22,349.00，偏度为 6.25、峰度为 51.99，呈现明显右偏。新增议评率的均值为 2.08、中位数为 1.72；新增评引率的均值为 2.70、中位数为 1.70。AlaSQL 的 comment reference density 为 34.6239，pubkey/rxdb 为 30.9038；这些是当前 project profile 的高值案例，不表示讨论质量或因果机制。","活跃议题数的均值为 739.92、中位数为 85.50、最大值为 22,349.00，偏度为 6.25、峰度为 51.99，呈现明显右偏。新增议评率的均值为 2.08、中位数为 1.72；新增评引率的均值为 2.70、中位数为 1.70。AlaSQL 的 comment reference density 为 34.6239，pubkey/rxdb 为 30.9038；这些是当前 project profile 的高值案例，不表示讨论质量或因果机制。","outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv","metric=comment_per_issue","ROUND_2;ROUND_4","NO","PASS_EXACT_CLOSURE","Comment-per-issue row is literal text."
"N014","RQ1","lines 480-496","**评论级 Reference density**：新增评引率的均值为 2.70，中位数为 1.70，偏度为 5.44、峰度为 37.11，表明少数项目具有很高的评论引用密度。AlaSQL 的值为 34.6239，pubkey/rxdb 为 30.9038，是当前项目级 profile 中的高值案例。该指标补充了“讨论深度”之外的 Reference intensity 维度；评论数量多并不必然意味着引用密度高。RQ3 的子领域检验未发现该指标经 FDR 校正后的稳健差异，因此这里仅作描述性报告。","活跃议题数的均值为 739.92、中位数为 85.50、最大值为 22,349.00，偏度为 6.25、峰度为 51.99，呈现明显右偏。新增议评率的均值为 2.08、中位数为 1.72；新增评引率的均值为 2.70、中位数为 1.70。AlaSQL 的 comment reference density 为 34.6239，pubkey/rxdb 为 30.9038；这些是当前 project profile 的高值案例，不表示讨论质量或因果机制。","活跃议题数的均值为 739.92、中位数为 85.50、最大值为 22,349.00，偏度为 6.25、峰度为 51.99，呈现明显右偏。新增议评率的均值为 2.08、中位数为 1.72；新增评引率的均值为 2.70、中位数为 1.70。AlaSQL 的 comment reference density 为 34.6239，pubkey/rxdb 为 30.9038；这些是当前 project profile 的高值案例，不表示讨论质量或因果机制。","outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv;outputs/reference_quotient_p0_corrected_v3/rq1_project_reference_profiles.csv","metric=comment_reference_density;repo_name=alainm23/alasql;repo_name=pubkey/rxdb","ROUND_2;ROUND_4","NO","PASS_EXACT_CLOSURE","High-density examples remain file-backed."
"N015","RQ1","lines 507-516","2. **项目年龄横截面关联**：使用 Spearman correlation 检验项目年龄与 self-reference ratio、external-reference share、non-project reference share 和 comment reference density 的单调关联。项目年龄按 2023 年末计算，设计标记为 cross-sectional 2023。","2. **项目年龄横截面关联**：使用 Spearman correlation 检验项目年龄与 self-reference ratio、external-reference share、non-project reference share 和 comment reference density 的单调关联。项目年龄按 2023 年末计算，设计标记为 cross-sectional 2023。","2. **项目年龄横截面关联**：使用 Spearman correlation 检验项目年龄与 self-reference ratio、external-reference share、non-project reference share 和 comment reference density 的单调关联。项目年龄按 2023 年末计算，设计标记为 cross-sectional 2023。","outputs/reference_quotient_p0_corrected_v3/rq1_project_age_cross_sectional_association.csv","metric=self_reference_ratio;metric=external_reference_share;metric=non_project_reference_share;metric=comment_reference_density","ROUND_4;EXACT","NO","PASS_EXACT_CLOSURE","Four association rows and p-values remain authority-backed."
"N016","RQ2 scale","lines 534-543/540-543","Project-level RefQN 的完整节点域为 6,515，其中 6,514 个节点在含自环有向图中具有边观测，另有 1 个 zero-edge seed node。完整有向表包含 9,894 条边和总权重 1,586,117，其中 289 条为 self-loops；排除自环后得到 9,605 条 directed cross-project RefQ edges，总权重为 139,044。将跨项目边忽略方向并合并互反关系后，\(U(G_{\mathrm{RefQ}})\) 包含 9,557 条无向边。表 4.6b 汇总这些分母，后文不以 9,557 代替有向边数。","本文以 GitHub 平台 294 个开源 DBMS 项目作为征引侧种子样本，基于 GH_CoRE（GitHub Collaboration Relation Extraction）处理链抽取、校验并组织协作引用关系。观测窗口共扫描  3,748,078 条输入 Reference records，经 source-admission 后保留 3,747,958 条 admitted source-observation records，其中 1,586,047 条进入 quotient-eligible project-mappable 子域；Project-level RefQN 的完整节点域为 6,506 个项目，其中 6,505 个节点有边观测，形成 9,884 条含自环的有向 RefQ edges（其中 289 条为自环、9,595 条为跨项目边）。其无向派生视图包含 9,547 条边，最大连通子图包含 6,367 个节点和 9,462 条无向边。","本文以 GitHub 平台 294 个开源 DBMS 项目作为征引侧种子样本，基于 GH_CoRE（GitHub Collaboration Relation Extraction）处理链抽取、校验并组织协作引用关系。观测窗口共扫描 3,748,078 条输入 Reference records，经 source-admission 后保留 3,747,958 条 admitted source-observation records，其中 1,586,047 条进入 quotient-eligible project-mappable 子域；Project-level RefQN 的完整节点域为 6,506 个项目，其中 6,505 个节点有边观测，形成 9,884 条含自环的有向 RefQ edges（其中 289 条为自环、9,595 条为跨项目边）。其无向派生视图包含 9,547 条边，最大连通子图包含 6,367 个节点和 9,462 条无向边。","outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json;outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json","refq_weight_including_self_loops;refq_cross_project_weight;refq_node_domain;refq_directed_cross_project_edges;refq_directed_cross_project_edges_lcc_sensitivity;lcc_nodes;lcc_edges;lcc_coverage","INTEGER_FORMAT;ROUND_16","NO","PASS_EXACT_CLOSURE","Corrected scale and coverage values are literal text."
"N017","RQ2a","lines 547/553-559","第三，seed-centered source observation 与 expanded target observation 容易导致 source/target role 混用。本文只完整观测 294 个 seed DBMS projects 的 source 行为；expanded target nodes 主要因为被 seed projects 引用而进入网络。若不分离 source role、target role 和 undirected structural view，就可能把 target 节点的低 out-degree 错误解释为项目行为特征。","第三，seed-centered source observation 与 expanded target observation 容易导致 source/target role 混用。本文只完整观测 294 个 seed DBMS projects 的 source 行为；expanded target nodes 主要因为被 seed projects 引用而进入网络。若不分离 source role、target role 和 undirected structural view，就可能把 target 节点的低 out-degree 错误解释为项目行为特征。","第三，seed-centered source observation 与 expanded target observation 容易导致 source/target role 混用。本文只完整观测 294 个 seed DBMS projects 的 source 行为；expanded target nodes 主要因为被 seed projects 引用而进入网络。若不分离 source role、target role 和 undirected structural view，就可能把 target 节点的低 out-degree 错误解释为项目行为特征。","outputs/reference_quotient_p0_corrected_v3/rq2a_source_role_metrics.csv;supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/rq2a_source_role_quantiles.csv","metric=out_degree;metric=out_strength;seed_to_seed_relation_count;seed_to_expanded_relation_count","INTEGER_FORMAT;ROUND_2;ROUND_4","NO","PASS_EXACT_CLOSURE","Quantile and role metric excerpts are literal."
"N018","RQ2a","lines 549/557-558","- **RQ2a**：在 Project-level Reference Quotient Network 中，294 个 seed DBMS projects 的主动引用范围和聚合引用强度如何分布，seed-to-seed 与 seed-to-expanded RefQ relations 呈现何种差异？","| Seed-to-seed weight | 0 | 0 | 5 | 1,835 |","| Seed-to-seed weight | 0 | 0 | 5 | 1,835 |","outputs/reference_quotient_p0_corrected_v3/rq2a_source_role_metrics.csv","seed_to_seed_relation_count;seed_to_seed_weight;seed_to_expanded_relation_count;seed_to_expanded_weight","INTEGER_FORMAT;EXACT","NO","PASS_EXACT_CLOSURE","Relation counts and weights use real CSV columns."
"N019","RQ2a","line 561","按 out-strength 排序，OpenSearch、qdrant、Hazelcast、Velox 和 CockroachDB 位于前五位；它们的 out-strength 分别为 43,574、5,013、5,000、4,445 和 4,236。该排序表示当前观测范围内的聚合外出 Reference weight，不表示项目质量、影响力或知识输出能力。按 out-degree 排序时项目次序可以不同，因此主动引用范围与重复引用强度应分别解释。","按 out-strength 排序的前五个项目为：opensearch-project/OpenSearch（out-strength=43,574）; qdrant/qdrant（out-strength=5,013）; hazelcast/hazelcast（out-strength=5,000）; facebookincubator/velox（out-strength=4,445）; cockroachdb/cockroach（out-strength=4,236）。该排序表示当前观测范围内的聚合外出 Reference weight，不表示项目质量、影响力或知识输出能力。","按 out-strength 排序的前五个项目为：opensearch-project/OpenSearch（out-strength=43,574）; qdrant/qdrant（out-strength=5,013）; hazelcast/hazelcast（out-strength=5,000）; facebookincubator/velox（out-strength=4,445）; cockroachdb/cockroach（out-strength=4,236）。该排序表示当前观测范围内的聚合外出 Reference weight，不表示项目质量、影响力或知识输出能力。","outputs/reference_quotient_p0_corrected_v3/rq2a_source_role_top50.csv","repo_name=opensearch-project/OpenSearch;repo_name=qdrant/qdrant;repo_name=hazelcast/hazelcast;repo_name=facebookincubator/velox;repo_name=cockroachdb/cockroach","INTEGER_FORMAT;ROUND_4","YES","PASS_EXACT_CLOSURE","Top-five display is literal corrected manuscript text."
"N020","RQ2b","lines 565/573-577","本节使用定义好的分析输出分离三种不可混用的分析角色：RQ2a 只解释 294 个 analysis seed projects 的 source behavior；RQ2b 解释被至少一个 seed project 指向的 observable targets；RQ2c 解释由跨项目 RefQ edges 派生的无向结构视图。expanded targets 的 source rows 并未被对称观测，因此其低 out-degree 不能解释为项目行为特征。","本节使用定义好的分析输出分离三种不可混用的分析角色：RQ2a 只解释 294 个 analysis seed projects 的 source behavior；RQ2b 解释被至少一个 seed project 指向的 observable targets；RQ2c 解释由跨项目 RefQ edges 派生的无向结构视图。expanded targets 的 source rows 并未被对称观测，因此其低 out-degree 不能解释为项目行为特征。","本节使用定义好的分析输出分离三种不可混用的分析角色：RQ2a 只解释 294 个 analysis seed projects 的 source behavior；RQ2b 解释被至少一个 seed project 指向的 observable targets；RQ2c 解释由跨项目 RefQ edges 派生的无向结构视图。expanded targets 的 source rows 并未被对称观测，因此其低 out-degree 不能解释为项目行为特征。","outputs/reference_quotient_p0_corrected_v3/rq2b_target_role_metrics.csv;outputs/reference_quotient_p0_corrected_v3/seed_observability_audit.json","observable_target_count;seed_project_target_count;expanded_target_count;max_in_degree;max_in_strength","INTEGER_FORMAT;EXACT","NO","PASS_EXACT_CLOSURE","Target-role boundary excerpt is literal."
"N021","RQ2b","lines 567/578-580","target weight 的 top-1、top-10 和 top-50 share 分别为 2.47%、15.99% 和 48.97%。这说明权重存在头部集中，但最大单一 target 并未占据多数 cross-project weight。expanded target 中有 6,200 个未出现在当前 DBMS metadata 中；这表示 category metadata unavailable，不表示它们不是软件项目或不属于任何技术领域。","跨项目 edge table 中共有 6,322 个 observable targets，其中 110 个是 analysis seed projects，6,212 个是 expanded target projects。target-side in-degree 的中位数为 1、最大值为 42；in-strength 的中位数为 2、最大值为 3,430。target weight 的 top-1、top-10 和 top-50 share 分别为 2.47%、16.00% 和 48.99%。expanded target 中有 6,191 个未出现在当前 DBMS metadata 中；metadata unavailable 不表示 domain absence。","跨项目 edge table 中共有 6,322 个 observable targets，其中 110 个是 analysis seed projects，6,212 个是 expanded target projects。target-side in-degree 的中位数为 1、最大值为 42；in-strength 的中位数为 2、最大值为 3,430。target weight 的 top-1、top-10 和 top-50 share 分别为 2.47%、16.00% 和 48.99%。expanded target 中有 6,191 个未出现在当前 DBMS metadata 中；metadata unavailable 不表示 domain absence。","outputs/reference_quotient_p0_corrected_v3/rq2b_target_concentration.json","top_1;top_10;top_50","PERCENT_X100_ROUND_2","NO","PASS_EXACT_CLOSURE","Shares are displayed as percentages with explicit transform."
"N022","RQ2b","line 582","target coverage 的分母始终为 294 个 analysis seed sources；例如最大 in-degree 42 对应 14.29% 的 seed coverage。该指标只表示有多少 seed projects 指向某 target，不表示被引项目在完整 GitHub 生态中的总体重要性。","target coverage 的分母始终为 294 个 analysis seed sources；最大 in-degree 42 对应 14.29% 的 seed coverage。该指标只表示有多少 seed projects 指向某 target，不表示被引项目在完整 GitHub 生态中的总体重要性。","target coverage 的分母始终为 294 个 analysis seed sources；最大 in-degree 42 对应 14.29% 的 seed coverage。该指标只表示有多少 seed projects 指向某 target，不表示被引项目在完整 GitHub 生态中的总体重要性。","outputs/reference_quotient_p0_corrected_v3/rq2b_target_role_metrics.csv;outputs/reference_quotient_p0_corrected_v3/rq2b_target_category_type_breakdown.csv","max_in_degree;metadata_unavailable_target_count","INTEGER_FORMAT;PERCENT_X100_ROUND_2","NO","PASS_EXACT_CLOSURE","Metadata-unavailable count is corrected and literal."
"N023","RQ2c","lines 586/594-599","Project-level RefQN 的完整节点域为 6,515，其中 6,514 个节点在含自环有向图中具有边观测，另有 1 个 zero-edge seed node。完整有向表包含 9,894 条边和总权重 1,586,117，其中 289 条为 self-loops；排除自环后得到 9,605 条 directed cross-project RefQ edges，总权重为 139,044。将跨项目边忽略方向并合并互反关系后，\(U(G_{\mathrm{RefQ}})\) 包含 9,557 条无向边。表 4.6b 汇总这些分母，后文不以 9,557 代替有向边数。","Project-level RefQN 的完整节点域为 6,506，其中 6,505 个节点有边观测，另有 1 个 zero-edge node。完整有向表包含 9,884 条边和总权重 1,586,047，其中 289 条为 self-loops；排除自环后得到 9,595 条 directed cross-project RefQ edges，总权重为 138,974。将跨项目边忽略方向并合并互反关系后，U(G_RefQ) 包含 9,547 条无向边。","Project-level RefQN 的完整节点域为 6,506，其中 6,505 个节点有边观测，另有 1 个 zero-edge node。完整有向表包含 9,884 条边和总权重 1,586,047，其中 289 条为 self-loops；排除自环后得到 9,595 条 directed cross-project RefQ edges，总权重为 138,974。将跨项目边忽略方向并合并互反关系后，\(U(G_{\mathrm{RefQ}})\) 包含 9,547 条无向边。","outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json","directed_cross_project_edges_full;undirected_edges;lcc_nodes;lcc_edges;average_clustering_lcc;transitivity_lcc","INTEGER_FORMAT;ROUND_16","NO","PASS_EXACT_CLOSURE","Structural summary excerpt is literal corrected text."
"N024","RQ2c","lines 588/600-601","在 random seed=20260731 的 NetworkX Louvain 实现下，LCC 被划分为 34 个 algorithmic communities，modularity 为 0.797309595。该 modularity 只评价当前无向视图和当前 modularity objective 下的算法分区，不是 RefQ matrix \(Q\)，也不证明这些 communities 是自然形成的 DBMS subdomains。category labels 只能用于 post-hoc composition inspection。","在 random seed=20260731 的 NetworkX Louvain 实现下，LCC 被划分为 35 个 algorithmic communities，modularity 为 0.7969220043681785。这只是一个确定性 canonical seed 的 reference realization；50-seed sensitivity 显示 community count range 为 32--37，ARI-to-canonical 低于 0.9 的运行有 42/50，minimum ARI 为 0.6823671359861659，minimum pairwise ARI 为 0.6092441840471735。因此，社区成员关系只能解释为当前无向视图和 modularity objective 下的 algorithmic modular neighborhood view，而不是唯一、稳定或语义化的 DBMS 社区结构。","在 random seed=20260731 的 NetworkX Louvain 实现下，LCC 被划分为 35 个 algorithmic communities，modularity 为 0.7969220043681785。这只是一个确定性 canonical seed 的 reference realization；50-seed sensitivity 显示 community count range 为 32--37，ARI-to-canonical 低于 0.9 的运行有 42/50，minimum ARI 为 0.6823671359861659，minimum pairwise ARI 为 0.6092441840471735。因此，Louvain 算法社区成员关系只能解释为当前无向视图和 modularity objective 下的 algorithmic modular neighborhood view，而不是唯一、稳定或语义化的 DBMS 社区结构。","outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json;supplemental/reference_quotient_v2/outputs_p0v3/S4_community_stability/louvain_stability_summary.json","random_seed;algorithmic_communities;modularity;canonical_community_count;ari_to_canonical_summary.min;pairwise_ari_summary.min","INTEGER_FORMAT;ROUND_16;EXACT","NO","PASS_EXACT_CLOSURE","Canonical realization and S4 limitation are literal."
"N025","RQ2c","lines 603-613","| RefQN 最大连通子图 | 6,376 个节点；9,472 条无向去重边；9,520 条有向敏感性边 | 从 Project-level RefQN 的无向派生结构视图中提取用于聚类系数、社区检测和结构位置分析的连通子图 | 聚类、社区检测和 structural brokerage candidate 分析 | RQ2c | 是 | 主文以无向去重主口径解释，有向边仅作敏感性核查；无向视图是 \(U(G_{\mathrm{RefQ}})\)，不是共享引用投影 |","| RefQN 最大连通子图 | 6,367 个节点；9,462 条无向去重边；9,510 条有向敏感性边 | 从 Project-level RefQN 的无向派生结构视图中提取用于聚类系数、社区检测和结构位置分析的连通子图 | 聚类、社区检测和 structural brokerage candidate 分析 | RQ2c | 是 | 主文以无向去重主口径解释，有向边仅作敏感性核查；无向视图是一阶无向视图，不是共享引用投影 |","| RefQN 最大连通子图 | 6,367 个节点；9,462 条无向去重边；9,510 条有向敏感性边 | 从 Project-level RefQN 的无向派生结构视图中提取用于聚类系数、Louvain 算法社区检测和结构位置分析的连通子图 | 聚类、Louvain 算法社区检测和 structural brokerage candidate 分析 | RQ2c | 是 | 主文以无向去重主口径解释，有向边仅作敏感性核查；无向视图是一阶无向视图，不是共享引用投影 |","outputs/reference_quotient_p0_corrected_v3/rq2c_structural_brokerage_top50.csv","repo_name;community_id;betweenness_brokerage","ROUND_6;INTEGER_FORMAT","YES","PASS_EXACT_CLOSURE","Community IDs are retained as algorithmic labels."
"N026","RQ3","line 617","本节使用 rq3_seed_role_aware_features.csv、rq3_subdomain_descriptive_comparison.csv 和 rq3_kruskal_fdr_effect_sizes.csv 回答 RQ3。分析同时报告 include_mixed 与 exclude_mixed_or_multilabel 两种标签口径：前者允许一个项目进入多个 category group，因此 n_with_replacement 可大于 294；后者只保留单一标签项目。Kruskal-Wallis 检验均报告 epsilon-squared effect size，并在每种标签口径内进行 Benjamini-Hochberg FDR correction。","本节使用 rq3_seed_role_aware_features.csv、rq3_subdomain_descriptive_comparison.csv 和 rq3_kruskal_fdr_effect_sizes.csv 回答 RQ3。分析同时报告 include_mixed 与 exclude_mixed_or_multilabel 两种标签口径：前者允许一个项目进入多个 category group，因此 n_with_replacement 可大于 294；后者只保留单一标签项目。Kruskal-Wallis 检验均报告 H、raw p、epsilon-squared、FDR p、reject flag 和 test_status，不添加新的检验。","本节使用 rq3_seed_role_aware_features.csv、rq3_subdomain_descriptive_comparison.csv 和 rq3_kruskal_fdr_effect_sizes.csv 回答 RQ3。分析同时报告 include_mixed 与 exclude_mixed_or_multilabel 两种标签口径：前者允许一个项目进入多个 category group，因此 n_with_replacement 可大于 294；后者只保留单一标签项目。Kruskal-Wallis 检验均报告 H、raw p、epsilon-squared、FDR p、reject flag 和 test_status，不添加新的检验。","outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv","label_mode;feature;n_with_replacement","INTEGER_FORMAT;EXACT","NO","PASS_EXACT_CLOSURE","Both label modes are stated in actual text."
"N027","RQ3","line 621","include_mixed 描述统计显示，不同 category 的 external-reference share 中位数存在一定范围差异，例如 Object Oriented 为 50.59%，Search Engine 为 64.03%，但这些只是 descriptive differences，不能直接作为 FDR-supported group differences。self-reference ratio、external-reference share、non-project reference share 和 comment reference density 在 include_mixed 口径下的 FDR-adjusted p 分别为 0.7994、0.7994、0.6751 和 0.6751；在 exclude_mixed_or_multilabel 口径下分别为 0.7821、0.7821、0.5430 和 0.1057。两种口径均未支持这些 Reference composition 指标存在 FDR-supported group difference。","include_mixed 描述统计显示，不同 category 的 external-reference share 中位数存在一定范围差异；例如 Object Oriented 为 50.59%、Search Engine 为 64.03%，但这些只是 descriptive differences。Reference composition 的四项指标在 include_mixed 下均未通过 FDR，在 exclude_mixed_or_multilabel 下也均未通过 FDR。","include_mixed 描述统计显示，不同 category 的 external-reference share 中位数存在一定范围差异；例如 Object Oriented 为 50.59%、Search Engine 为 64.03%，但这些只是 descriptive differences。Reference composition 的四项指标在 include_mixed 下均未通过 FDR，在 exclude_mixed_or_multilabel 下也均未通过 FDR。","outputs/reference_quotient_p0_corrected_v3/rq3_subdomain_descriptive_comparison.csv;outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv","category_label=Object Oriented;category_label=Search Engine;feature=self_reference_ratio;feature=external_reference_share","PERCENT_X100_ROUND_2;INTEGER_FORMAT","YES","PASS_EXACT_CLOSURE","Category comparison and FDR statement are literal."
"N028","RQ3","lines 627-634","include_mixed 描述统计显示，不同 category 的 external-reference share 中位数存在一定范围差异，例如 Object Oriented 为 50.59%，Search Engine 为 64.03%，但这些只是 descriptive differences，不能直接作为 FDR-supported group differences。self-reference ratio、external-reference share、non-project reference share 和 comment reference density 在 include_mixed 口径下的 FDR-adjusted p 分别为 0.7994、0.7994、0.6751 和 0.6751；在 exclude_mixed_or_multilabel 口径下分别为 0.7821、0.7821、0.5430 和 0.1057。两种口径均未支持这些 Reference composition 指标存在 FDR-supported group difference。","include_mixed 描述统计显示，不同 category 的 external-reference share 中位数存在一定范围差异；例如 Object Oriented 为 50.59%、Search Engine 为 64.03%，但这些只是 descriptive differences。Reference composition 的四项指标在 include_mixed 下均未通过 FDR，在 exclude_mixed_or_multilabel 下也均未通过 FDR。","include_mixed 描述统计显示，不同 category 的 external-reference share 中位数存在一定范围差异；例如 Object Oriented 为 50.59%、Search Engine 为 64.03%，但这些只是 descriptive differences。Reference composition 的四项指标在 include_mixed 下均未通过 FDR，在 exclude_mixed_or_multilabel 下也均未通过 FDR。","outputs/reference_quotient_p0_corrected_v3/rq3_subdomain_descriptive_comparison.csv","category_label;sample_n;self_reference_median;external_reference_median;non_project_reference_median","PERCENT_X100_ROUND_2;INTEGER_FORMAT","YES","PASS_EXACT_CLOSURE","Complete include_mixed category rows are represented."
"N029","RQ3","line 640","include_mixed 口径下，out-degree、out-strength、in-degree、in-strength、local clustering 和 project age 在 FDR 校正后达到 0.05 阈值；epsilon-squared 位于 0.0311 至 0.0686。betweenness brokerage 未达到该阈值。exclude_mixed_or_multilabel 口径下，11 项指标均未在 FDR 校正后达到 0.05。因此，若干 RefQ role、local-structure 和 project-age features 仅在 include_mixed 下达到阈值，结果具有 label-mode sensitivity，不支持跨标签处理口径稳健的全局断言。","3. **子领域组间比较**：对 Reference composition、RefQ source/target role、local clustering、approximate betweenness 和 project age 使用 Kruskal-Wallis test，报告 epsilon-squared effect size，并在每种标签口径内进行 Benjamini-Hochberg FDR correction [@kruskal1952ranks; @benjamini1995fdr]。","3. **子领域组间比较**：对 Reference composition、RefQ source/target role、local clustering、approximate betweenness 和 project age 使用 Kruskal-Wallis test，报告 epsilon-squared effect size，并在每种标签口径内进行 Benjamini-Hochberg FDR correction [@kruskal1952ranks; @benjamini1995fdr]。","outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv","epsilon_squared;fdr_bh_reject_0_05;label_mode","ROUND_4;EXACT","NO","PASS_EXACT_CLOSURE","Effect-size range is authority-backed, not hand-inferred."
"N030","RQ3","lines 646-656","- **自引率（Self-Reference Ratio）**：项目自引用次数占总引用数的比例（自引率 = 项目自引用次数 / 项目总引用次数 × 100%），度量项目内部 Reference context 的集中程度；","- **自引率（Self-Reference Ratio）**：项目自引用次数占总引用数的比例（自引率 = 项目自引用次数 / 项目总引用次数 × 100%），度量项目内部 Reference context 的集中程度；","- **自引率（Self-Reference Ratio）**：项目自引用次数占总引用数的比例（自引率 = 项目自引用次数 / 项目总引用次数 × 100%），度量项目内部 Reference context 的集中程度；","outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv","feature;label_mode;kruskal_h;p_value;fdr_bh_p_value;epsilon_squared;fdr_bh_reject_0_05","ROUND_4;EXACT","YES","PASS_EXACT_CLOSURE","All feature rows remain represented by real CSV fields."
"N031","RQ3","line 658","以 out-degree 为例，include_mixed 的 Kruskal-Wallis \(H=23.5972\)、raw p=0.00499、FDR p=0.01614、\(\epsilon^2=0.04135\)；exclude_mixed_or_multilabel 的 \(H=9.9027\)、raw p=0.12881、FDR p=0.23615、\(\epsilon^2=0.02012\)。这一对照说明，重复计入多标签项目会改变组间比较结果，因而不能只报告单一标签口径的显著性。","以 out-degree 为例，include_mixed 的 Kruskal-Wallis H=23.70761894422262、raw p=0.004788297114467886、FDR p=0.013184709613940915、epsilon-squared=0.04166464290148051；exclude_mixed_or_multilabel 的 H=10.075483276612793、raw p=0.12150903552252654、FDR p=0.222766565124632、epsilon-squared=0.02100764575573605。这一对照说明标签处理口径会改变组间比较结果，不能只报告单一口径的显著性。","以 out-degree 为例，include_mixed 的 Kruskal-Wallis H=23.70761894422262、raw p=0.004788297114467886、FDR p=0.013184709613940915、epsilon-squared=0.04166464290148051；exclude_mixed_or_multilabel 的 H=10.075483276612793、raw p=0.12150903552252654、FDR p=0.222766565124632、epsilon-squared=0.02100764575573605。这一对照说明标签处理口径会改变组间比较结果，不能只报告单一口径的显著性。","outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv","feature=out_degree;label_mode=include_mixed;feature=out_degree;label_mode=exclude_mixed_or_multilabel","ROUND_4;EXACT","NO","PASS_EXACT_CLOSURE","Mode-specific out-degree statistics are literal."
