change_id,section,old_location,old_exact_text,migrated_v1_exact_text,qa_exact_text,primary_change_class,secondary_change_class,scientific_authority,scientific_value_changed,semantic_boundary_changed,table_schema_changed,editorial_only,recommended_final_action,manual_review_required,reason
"N018","RQ2a","lines 549/557-558","- **RQ2a**：在 Project-level Reference Quotient Network 中，294 个 seed DBMS projects 的主动引用范围和聚合引用强度如何分布，seed-to-seed 与 seed-to-expanded RefQ relations 呈现何种差异？","| Seed-to-seed weight | 0 | 0 | 5 | 1,835 |","| Seed-to-seed weight | 0 | 0 | 5 | 1,835 |","REQUIRED_NUMERIC_CORRECTION","REQUIRED_DATA_SCOPE_CORRECTION","outputs/reference_quotient_p0_corrected_v3/rq2a_source_role_metrics.csv","YES","YES","NO","NO","KEEP_QA_CURRENT_VALUES","NO","Source-role relation counts and weights move to the current frozen role metrics."
"N019","RQ2a","line 561","按 out-strength 排序，OpenSearch、qdrant、Hazelcast、Velox 和 CockroachDB 位于前五位；它们的 out-strength 分别为 43,574、5,013、5,000、4,445 和 4,236。该排序表示当前观测范围内的聚合外出 Reference weight，不表示项目质量、影响力或知识输出能力。按 out-degree 排序时项目次序可以不同，因此主动引用范围与重复引用强度应分别解释。","按 out-strength 排序的前五个项目为：opensearch-project/OpenSearch（out-strength=43,574）; qdrant/qdrant（out-strength=5,013）; hazelcast/hazelcast（out-strength=5,000）; facebookincubator/velox（out-strength=4,445）; cockroachdb/cockroach（out-strength=4,236）。该排序表示当前观测范围内的聚合外出 Reference weight，不表示项目质量、影响力或知识输出能力。","按 out-strength 排序的前五个项目为：opensearch-project/OpenSearch（out-strength=43,574）; qdrant/qdrant（out-strength=5,013）; hazelcast/hazelcast（out-strength=5,000）; facebookincubator/velox（out-strength=4,445）; cockroachdb/cockroach（out-strength=4,236）。该排序表示当前观测范围内的聚合外出 Reference weight，不表示项目质量、影响力或知识输出能力。","REQUIRED_NUMERIC_CORRECTION","TABLE_PRESENTATION_CHANGE","outputs/reference_quotient_p0_corrected_v3/rq2a_source_role_top50.csv","YES","NO","NO","NO","KEEP_QA_CURRENT_VALUES","YES","Top-five source-role values and labels are corrected; ranking display remains presentation-sensitive."
"N021","RQ2b","lines 567/578-580","target weight 的 top-1、top-10 和 top-50 share 分别为 2.47%、15.99% 和 48.97%。这说明权重存在头部集中，但最大单一 target 并未占据多数 cross-project weight。expanded target 中有 6,200 个未出现在当前 DBMS metadata 中；这表示 category metadata unavailable，不表示它们不是软件项目或不属于任何技术领域。","跨项目 edge table 中共有 6,322 个 observable targets，其中 110 个是 analysis seed projects，6,212 个是 expanded target projects。target-side in-degree 的中位数为 1、最大值为 42；in-strength 的中位数为 2、最大值为 3,430。target weight 的 top-1、top-10 和 top-50 share 分别为 2.47%、16.00% 和 48.99%。expanded target 中有 6,191 个未出现在当前 DBMS metadata 中；metadata unavailable 不表示 domain absence。","跨项目 edge table 中共有 6,322 个 observable targets，其中 110 个是 analysis seed projects，6,212 个是 expanded target projects。target-side in-degree 的中位数为 1、最大值为 42；in-strength 的中位数为 2、最大值为 3,430。target weight 的 top-1、top-10 和 top-50 share 分别为 2.47%、16.00% 和 48.99%。expanded target 中有 6,191 个未出现在当前 DBMS metadata 中；metadata unavailable 不表示 domain absence。","REQUIRED_NUMERIC_CORRECTION","NONE","outputs/reference_quotient_p0_corrected_v3/rq2b_target_concentration.json","YES","NO","NO","NO","KEEP_QA_CURRENT_VALUES","NO","Target concentration shares use current frozen concentration support."
"N022","RQ2b","line 582","target coverage 的分母始终为 294 个 analysis seed sources；例如最大 in-degree 42 对应 14.29% 的 seed coverage。该指标只表示有多少 seed projects 指向某 target，不表示被引项目在完整 GitHub 生态中的总体重要性。","target coverage 的分母始终为 294 个 analysis seed sources；最大 in-degree 42 对应 14.29% 的 seed coverage。该指标只表示有多少 seed projects 指向某 target，不表示被引项目在完整 GitHub 生态中的总体重要性。","target coverage 的分母始终为 294 个 analysis seed sources；最大 in-degree 42 对应 14.29% 的 seed coverage。该指标只表示有多少 seed projects 指向某 target，不表示被引项目在完整 GitHub 生态中的总体重要性。","REQUIRED_NUMERIC_CORRECTION","REQUIRED_DATA_SCOPE_CORRECTION","outputs/reference_quotient_p0_corrected_v3/rq2b_target_role_metrics.csv;outputs/reference_quotient_p0_corrected_v3/rq2b_target_category_type_breakdown.csv","YES","YES","NO","NO","KEEP_QA_CURRENT_VALUES","NO","Observable/seed/expanded target counts and metadata-unavailable count require current target-role scope."
"N023","RQ2c","lines 586/594-599","Project-level RefQN 的完整节点域为 6,515，其中 6,514 个节点在含自环有向图中具有边观测，另有 1 个 zero-edge seed node。完整有向表包含 9,894 条边和总权重 1,586,117，其中 289 条为 self-loops；排除自环后得到 9,605 条 directed cross-project RefQ edges，总权重为 139,044。将跨项目边忽略方向并合并互反关系后，\(U(G_{\mathrm{RefQ}})\) 包含 9,557 条无向边。表 4.6b 汇总这些分母，后文不以 9,557 代替有向边数。","Project-level RefQN 的完整节点域为 6,506，其中 6,505 个节点有边观测，另有 1 个 zero-edge node。完整有向表包含 9,884 条边和总权重 1,586,047，其中 289 条为 self-loops；排除自环后得到 9,595 条 directed cross-project RefQ edges，总权重为 138,974。将跨项目边忽略方向并合并互反关系后，U(G_RefQ) 包含 9,547 条无向边。","Project-level RefQN 的完整节点域为 6,506，其中 6,505 个节点有边观测，另有 1 个 zero-edge node。完整有向表包含 9,884 条边和总权重 1,586,047，其中 289 条为 self-loops；排除自环后得到 9,595 条 directed cross-project RefQ edges，总权重为 138,974。将跨项目边忽略方向并合并互反关系后，\(U(G_{\mathrm{RefQ}})\) 包含 9,547 条无向边。","REQUIRED_NUMERIC_CORRECTION","REQUIRED_DATA_SCOPE_CORRECTION","outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json","YES","YES","NO","NO","KEEP_QA_CURRENT_VALUES","NO","Corrected topology and LCC metrics must remain bound to the current undirected view."
"N024","RQ2c","lines 588/600-601","在 random seed=20260731 的 NetworkX Louvain 实现下，LCC 被划分为 34 个 algorithmic communities，modularity 为 0.797309595。该 modularity 只评价当前无向视图和当前 modularity objective 下的算法分区，不是 RefQ matrix \(Q\)，也不证明这些 communities 是自然形成的 DBMS subdomains。category labels 只能用于 post-hoc composition inspection。","在 random seed=20260731 的 NetworkX Louvain 实现下，LCC 被划分为 35 个 algorithmic communities，modularity 为 0.7969220043681785。这只是一个确定性 canonical seed 的 reference realization；50-seed sensitivity 显示 community count range 为 32--37，ARI-to-canonical 低于 0.9 的运行有 42/50，minimum ARI 为 0.6823671359861659，minimum pairwise ARI 为 0.6092441840471735。因此，社区成员关系只能解释为当前无向视图和 modularity objective 下的 algorithmic modular neighborhood view，而不是唯一、稳定或语义化的 DBMS 社区结构。","在 random seed=20260731 的 NetworkX Louvain 实现下，LCC 被划分为 35 个 algorithmic communities，modularity 为 0.7969220043681785。这只是一个确定性 canonical seed 的 reference realization；50-seed sensitivity 显示 community count range 为 32--37，ARI-to-canonical 低于 0.9 的运行有 42/50，minimum ARI 为 0.6823671359861659，minimum pairwise ARI 为 0.6092441840471735。因此，Louvain 算法社区成员关系只能解释为当前无向视图和 modularity objective 下的 algorithmic modular neighborhood view，而不是唯一、稳定或语义化的 DBMS 社区结构。","REQUIRED_NUMERIC_CORRECTION","REQUIRED_ROBUSTNESS_EVIDENCE","outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json;supplemental/reference_quotient_v2/outputs_p0v3/S4_community_stability/louvain_stability_summary.json","YES","YES","NO","NO","KEEP_QA_CURRENT_VALUES","NO","Canonical 35-community realization is retained only with the frozen S4 sensitivity limitation."
"N025","RQ2c","lines 603-613","| RefQN 最大连通子图 | 6,376 个节点；9,472 条无向去重边；9,520 条有向敏感性边 | 从 Project-level RefQN 的无向派生结构视图中提取用于聚类系数、社区检测和结构位置分析的连通子图 | 聚类、社区检测和 structural brokerage candidate 分析 | RQ2c | 是 | 主文以无向去重主口径解释，有向边仅作敏感性核查；无向视图是 \(U(G_{\mathrm{RefQ}})\)，不是共享引用投影 |","| RefQN 最大连通子图 | 6,367 个节点；9,462 条无向去重边；9,510 条有向敏感性边 | 从 Project-level RefQN 的无向派生结构视图中提取用于聚类系数、社区检测和结构位置分析的连通子图 | 聚类、社区检测和 structural brokerage candidate 分析 | RQ2c | 是 | 主文以无向去重主口径解释，有向边仅作敏感性核查；无向视图是一阶无向视图，不是共享引用投影 |","| RefQN 最大连通子图 | 6,367 个节点；9,462 条无向去重边；9,510 条有向敏感性边 | 从 Project-level RefQN 的无向派生结构视图中提取用于聚类系数、Louvain 算法社区检测和结构位置分析的连通子图 | 聚类、Louvain 算法社区检测和 structural brokerage candidate 分析 | RQ2c | 是 | 主文以无向去重主口径解释，有向边仅作敏感性核查；无向视图是一阶无向视图，不是共享引用投影 |","REQUIRED_NUMERIC_CORRECTION","REQUIRED_SEMANTIC_BOUNDARY_CORRECTION","outputs/reference_quotient_p0_corrected_v3/rq2c_structural_brokerage_top50.csv","YES","YES","YES","NO","KEEP_QA_CURRENT_VALUES","YES","Brokerage rows and community labels are corrected; labels remain algorithmic and non-causal."
"N026","RQ3","line 617","本节使用 rq3_seed_role_aware_features.csv、rq3_subdomain_descriptive_comparison.csv 和 rq3_kruskal_fdr_effect_sizes.csv 回答 RQ3。分析同时报告 include_mixed 与 exclude_mixed_or_multilabel 两种标签口径：前者允许一个项目进入多个 category group，因此 n_with_replacement 可大于 294；后者只保留单一标签项目。Kruskal-Wallis 检验均报告 epsilon-squared effect size，并在每种标签口径内进行 Benjamini-Hochberg FDR correction。","本节使用 rq3_seed_role_aware_features.csv、rq3_subdomain_descriptive_comparison.csv 和 rq3_kruskal_fdr_effect_sizes.csv 回答 RQ3。分析同时报告 include_mixed 与 exclude_mixed_or_multilabel 两种标签口径：前者允许一个项目进入多个 category group，因此 n_with_replacement 可大于 294；后者只保留单一标签项目。Kruskal-Wallis 检验均报告 H、raw p、epsilon-squared、FDR p、reject flag 和 test_status，不添加新的检验。","本节使用 rq3_seed_role_aware_features.csv、rq3_subdomain_descriptive_comparison.csv 和 rq3_kruskal_fdr_effect_sizes.csv 回答 RQ3。分析同时报告 include_mixed 与 exclude_mixed_or_multilabel 两种标签口径：前者允许一个项目进入多个 category group，因此 n_with_replacement 可大于 294；后者只保留单一标签项目。Kruskal-Wallis 检验均报告 H、raw p、epsilon-squared、FDR p、reject flag 和 test_status，不添加新的检验。","REQUIRED_NUMERIC_CORRECTION","REQUIRED_SEMANTIC_BOUNDARY_CORRECTION","outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv","YES","YES","NO","NO","KEEP_QA_CURRENT_VALUES","NO","Both label modes and current n-with-replacement semantics must be retained."
"N027","RQ3","line 621","include_mixed 描述统计显示，不同 category 的 external-reference share 中位数存在一定范围差异，例如 Object Oriented 为 50.59%，Search Engine 为 64.03%，但这些只是 descriptive differences，不能直接作为 FDR-supported group differences。self-reference ratio、external-reference share、non-project reference share 和 comment reference density 在 include_mixed 口径下的 FDR-adjusted p 分别为 0.7994、0.7994、0.6751 和 0.6751；在 exclude_mixed_or_multilabel 口径下分别为 0.7821、0.7821、0.5430 和 0.1057。两种口径均未支持这些 Reference composition 指标存在 FDR-supported group difference。","include_mixed 描述统计显示，不同 category 的 external-reference share 中位数存在一定范围差异；例如 Object Oriented 为 50.59%、Search Engine 为 64.03%，但这些只是 descriptive differences。Reference composition 的四项指标在 include_mixed 下均未通过 FDR，在 exclude_mixed_or_multilabel 下也均未通过 FDR。","include_mixed 描述统计显示，不同 category 的 external-reference share 中位数存在一定范围差异；例如 Object Oriented 为 50.59%、Search Engine 为 64.03%，但这些只是 descriptive differences。Reference composition 的四项指标在 include_mixed 下均未通过 FDR，在 exclude_mixed_or_multilabel 下也均未通过 FDR。","REQUIRED_NUMERIC_CORRECTION","REQUIRED_SEMANTIC_BOUNDARY_CORRECTION","outputs/reference_quotient_p0_corrected_v3/rq3_subdomain_descriptive_comparison.csv;outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv","YES","YES","NO","NO","KEEP_QA_CURRENT_VALUES","YES","Category examples and FDR claims use current rows; metadata labels are not communities."
"N028","RQ3","lines 627-634","include_mixed 描述统计显示，不同 category 的 external-reference share 中位数存在一定范围差异，例如 Object Oriented 为 50.59%，Search Engine 为 64.03%，但这些只是 descriptive differences，不能直接作为 FDR-supported group differences。self-reference ratio、external-reference share、non-project reference share 和 comment reference density 在 include_mixed 口径下的 FDR-adjusted p 分别为 0.7994、0.7994、0.6751 和 0.6751；在 exclude_mixed_or_multilabel 口径下分别为 0.7821、0.7821、0.5430 和 0.1057。两种口径均未支持这些 Reference composition 指标存在 FDR-supported group difference。","include_mixed 描述统计显示，不同 category 的 external-reference share 中位数存在一定范围差异；例如 Object Oriented 为 50.59%、Search Engine 为 64.03%，但这些只是 descriptive differences。Reference composition 的四项指标在 include_mixed 下均未通过 FDR，在 exclude_mixed_or_multilabel 下也均未通过 FDR。","include_mixed 描述统计显示，不同 category 的 external-reference share 中位数存在一定范围差异；例如 Object Oriented 为 50.59%、Search Engine 为 64.03%，但这些只是 descriptive differences。Reference composition 的四项指标在 include_mixed 下均未通过 FDR，在 exclude_mixed_or_multilabel 下也均未通过 FDR。","REQUIRED_NUMERIC_CORRECTION","TABLE_PRESENTATION_CHANGE","outputs/reference_quotient_p0_corrected_v3/rq3_subdomain_descriptive_comparison.csv","YES","NO","YES","NO","KEEP_QA_CURRENT_VALUES","YES","Current include-mixed category rows add corrected categories; schema choice remains a presentation decision."
"N029","RQ3","line 640","include_mixed 口径下，out-degree、out-strength、in-degree、in-strength、local clustering 和 project age 在 FDR 校正后达到 0.05 阈值；epsilon-squared 位于 0.0311 至 0.0686。betweenness brokerage 未达到该阈值。exclude_mixed_or_multilabel 口径下，11 项指标均未在 FDR 校正后达到 0.05。因此，若干 RefQ role、local-structure 和 project-age features 仅在 include_mixed 下达到阈值，结果具有 label-mode sensitivity，不支持跨标签处理口径稳健的全局断言。","3. **子领域组间比较**：对 Reference composition、RefQ source/target role、local clustering、approximate betweenness 和 project age 使用 Kruskal-Wallis test，报告 epsilon-squared effect size，并在每种标签口径内进行 Benjamini-Hochberg FDR correction [@kruskal1952ranks; @benjamini1995fdr]。","3. **子领域组间比较**：对 Reference composition、RefQ source/target role、local clustering、approximate betweenness 和 project age 使用 Kruskal-Wallis test，报告 epsilon-squared effect size，并在每种标签口径内进行 Benjamini-Hochberg FDR correction [@kruskal1952ranks; @benjamini1995fdr]。","REQUIRED_NUMERIC_CORRECTION","REQUIRED_SEMANTIC_BOUNDARY_CORRECTION","outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv","YES","YES","NO","NO","KEEP_QA_CURRENT_VALUES","NO","Effect-size and FDR range must use the current label-mode contract."
"N031","RQ3","line 658","以 out-degree 为例，include_mixed 的 Kruskal-Wallis \(H=23.5972\)、raw p=0.00499、FDR p=0.01614、\(\epsilon^2=0.04135\)；exclude_mixed_or_multilabel 的 \(H=9.9027\)、raw p=0.12881、FDR p=0.23615、\(\epsilon^2=0.02012\)。这一对照说明，重复计入多标签项目会改变组间比较结果，因而不能只报告单一标签口径的显著性。","以 out-degree 为例，include_mixed 的 Kruskal-Wallis H=23.70761894422262、raw p=0.004788297114467886、FDR p=0.013184709613940915、epsilon-squared=0.04166464290148051；exclude_mixed_or_multilabel 的 H=10.075483276612793、raw p=0.12150903552252654、FDR p=0.222766565124632、epsilon-squared=0.02100764575573605。这一对照说明标签处理口径会改变组间比较结果，不能只报告单一口径的显著性。","以 out-degree 为例，include_mixed 的 Kruskal-Wallis H=23.70761894422262、raw p=0.004788297114467886、FDR p=0.013184709613940915、epsilon-squared=0.04166464290148051；exclude_mixed_or_multilabel 的 H=10.075483276612793、raw p=0.12150903552252654、FDR p=0.222766565124632、epsilon-squared=0.02100764575573605。这一对照说明标签处理口径会改变组间比较结果，不能只报告单一口径的显著性。","REQUIRED_NUMERIC_CORRECTION","NONE","outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv","YES","NO","NO","NO","KEEP_QA_CURRENT_VALUES","NO","Mode-specific out-degree statistics are current frozen values."
"N032","RQ3","line 662","| Project age at 2023 end | 0.0014 | 0.0686 | 0.1057 | 0.0380 | Label-mode sensitive |","project age at 2023 end 是横截面属性，不是时间序列。include_mixed 口径下，project age 的 H=33.09512217039924、raw p=0.00012855369064389884、FDR p=0.0014140905970828873、epsilon-squared=0.06864707171053916；exclude_mixed_or_multilabel 口径下，H=13.304650379098037、raw p=0.03844524008316806、FDR p=0.10572441022871217、epsilon-squared=0.03804505405780228。因此，项目年龄的子领域差异同样对标签处理敏感。","project age at 2023 end 是横截面属性，不是时间序列。include_mixed 口径下，project age 的 H=33.09512217039924、raw p=0.00012855369064389884、FDR p=0.0014140905970828873、epsilon-squared=0.06864707171053916；exclude_mixed_or_multilabel 口径下，H=13.304650379098037、raw p=0.03844524008316806、FDR p=0.10572441022871217、epsilon-squared=0.03804505405780228。因此，项目年龄的子领域差异同样对标签处理敏感。","REQUIRED_NUMERIC_CORRECTION","NONE","outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv","YES","NO","NO","NO","KEEP_QA_CURRENT_VALUES","NO","Mode-specific project-age statistics are current frozen values and remain cross-sectional."
"N033","discussion","line 697","Project-level RefQN 的完整节点域为 6,515，其中 6,514 个节点在含自环有向图中具有边观测，另有 1 个 zero-edge seed node。完整有向表包含 9,894 条边和总权重 1,586,117，其中 289 条为 self-loops；排除自环后得到 9,605 条 directed cross-project RefQ edges，总权重为 139,044。将跨项目边忽略方向并合并互反关系后，\(U(G_{\mathrm{RefQ}})\) 包含 9,557 条无向边。表 4.6b 汇总这些分母，后文不以 9,557 代替有向边数。","Project-level RefQN 的完整节点域为 6,506，其中 6,505 个节点有边观测，另有 1 个 zero-edge node。完整有向表包含 9,884 条边和总权重 1,586,047，其中 289 条为 self-loops；排除自环后得到 9,595 条 directed cross-project RefQ edges，总权重为 138,974。将跨项目边忽略方向并合并互反关系后，U(G_RefQ) 包含 9,547 条无向边。","Project-level RefQN 的完整节点域为 6,506，其中 6,505 个节点有边观测，另有 1 个 zero-edge node。完整有向表包含 9,884 条边和总权重 1,586,047，其中 289 条为 self-loops；排除自环后得到 9,595 条 directed cross-project RefQ edges，总权重为 138,974。将跨项目边忽略方向并合并互反关系后，\(U(G_{\mathrm{RefQ}})\) 包含 9,547 条无向边。","REQUIRED_NUMERIC_CORRECTION","REQUIRED_DATA_SCOPE_CORRECTION","outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json","YES","YES","NO","NO","KEEP_CURRENT_SCIENCE_USE_FROZEN_WORDING","NO","Discussion repeats corrected graph denominators and must not introduce a new result."
"N034","validity","line 726","近似 betweenness 排序用于识别 structural brokerage candidates。ClickHouse、Apache Spark、CockroachDB、RisingWave 和 OpenSearch 位于当前 top-five，其 betweenness_brokerage 分别为 0.109637、0.088634、0.084227、0.080466 和 0.077749。该指标基于 500 个节点的近似抽样，只描述当前 LCC shortest-path structure 中的 bridge-like position；它不表示知识经这些项目传递，也不判定组织协调或实际协作成效。","- approximate betweenness 以固定 500-node sample 和 random seed 计算，只作为 structural brokerage candidate 指标。","- approximate betweenness 以固定 500-node sample 和 random seed 计算，只作为 structural brokerage candidate 指标。","EDITORIAL_CONDENSATION","REQUIRED_SEMANTIC_BOUNDARY_CORRECTION","outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json;supplemental/reference_quotient_v2/outputs_p0v3/manifest.json","NO","NO","NO","YES","KEEP_OLD_PROSE_UPDATE_VALUES","YES","The detailed non-causal brokerage boundary remains valid; QA condensation should not erase useful interpretation prose."
"N035","appendix A","lines 767-777","- Repository: birdflyi/OSDB_RefQ","- P0-v3 implementation authority: 2d284f4bc83c42ba6555a09a2e42693c5490b827","- P0-v3 scientific/shared implementation commit: 25c6ef3f49af04e916f10e129d976ce7c2119fd8","REQUIRED_PROVENANCE_CORRECTION","NONE","outputs/reference_quotient_p0_corrected_v3/manifest.json;supplemental/reference_quotient_v2/outputs_p0v3/manifest.json","NO","YES","NO","NO","KEEP_QA_EXACT","YES","Appendix identity must distinguish implementation and accepted-result commits and package provenance."
"N036","appendix A","line 783","本文以 GitHub 平台 294 个开源 DBMS 项目作为征引侧种子样本，基于 GH_CoRE（GitHub Collaboration Relation Extraction）处理链抽取、校验并组织协作引用关系。在观测窗口的 GitHub 协作记录中，本文识别并保留 3,748,078 条有效 Reference records；Project-level RefQN 的完整节点域为 6,515 个项目，其中 6,514 个节点有边观测，形成 9,894 条含自环的有向 RefQ edges（其中 289 条为自环、9,605 条为跨项目边）。其无向派生视图包含 9,557 条边，最大连通子图包含 6,376 个节点和 9,472 条无向边。","本文以 GitHub 平台 294 个开源 DBMS 项目作为征引侧种子样本，基于 GH_CoRE（GitHub Collaboration Relation Extraction）处理链抽取、校验并组织协作引用关系。观测窗口共扫描  3,748,078 条输入 Reference records，经 source-admission 后保留 3,747,958 条 admitted source-observation records，其中 1,586,047 条进入 quotient-eligible project-mappable 子域；Project-level RefQN 的完整节点域为 6,506 个项目，其中 6,505 个节点有边观测，形成 9,884 条含自环的有向 RefQ edges（其中 289 条为自环、9,595 条为跨项目边）。其无向派生视图包含 9,547 条边，最大连通子图包含 6,367 个节点和 9,462 条无向边。","本文以 GitHub 平台 294 个开源 DBMS 项目作为征引侧种子样本，基于 GH_CoRE（GitHub Collaboration Relation Extraction）处理链抽取、校验并组织协作引用关系。观测窗口共扫描 3,748,078 条输入 Reference records，经 source-admission 后保留 3,747,958 条 admitted source-observation records，其中 1,586,047 条进入 quotient-eligible project-mappable 子域；Project-level RefQN 的完整节点域为 6,506 个项目，其中 6,505 个节点有边观测，形成 9,884 条含自环的有向 RefQ edges（其中 289 条为自环、9,595 条为跨项目边）。其无向派生视图包含 9,547 条边，最大连通子图包含 6,367 个节点和 9,462 条无向边。","REQUIRED_NUMERIC_CORRECTION","REQUIRED_DATA_SCOPE_CORRECTION","outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json","YES","YES","NO","NO","KEEP_CURRENT_SCIENCE_USE_FROZEN_WORDING","NO","Appendix repeated flow and edge values must match P0-v3 authority."
"N037","appendix A","line 785","seed_observability_audit.json reports 294 analysis seeds, 6,221 expanded targets, 262 positive-out-degree seeds and 32 zero-out-degree seeds. Non-project external targets do not enter RefQN. Expanded targets enter because they are observed as targets of seed projects; they are not source-complete observations.","seed_observability_audit.json reports 294 analysis seeds, 6,212 expanded targets, 262 positive-out-degree seeds and 32 zero-out-degree seeds. Expanded targets remain not source-complete. Non-project external targets do not enter RefQN.","seed_observability_audit.json reports 294 analysis seeds, 6,212 expanded targets, 262 positive-out-degree seeds and 32 zero-out-degree seeds. Expanded targets remain not source-complete. Non-project external targets do not enter RefQN.","REQUIRED_DATA_SCOPE_CORRECTION","REQUIRED_SEMANTIC_BOUNDARY_CORRECTION","outputs/reference_quotient_p0_corrected_v3/seed_observability_audit.json","YES","YES","NO","NO","KEEP_QA_EXACT","NO","Expanded-target count and source-complete boundary are current observation semantics."
"N039","main-result repetition","lines 8/101/113/369/378/534/697/752","本文以 GitHub 平台 294 个开源 DBMS 项目作为征引侧种子样本，基于 GH_CoRE（GitHub Collaboration Relation Extraction）处理链抽取、校验并组织协作引用关系。在观测窗口的 GitHub 协作记录中，本文识别并保留 3,748,078 条有效 Reference records；Project-level RefQN 的完整节点域为 6,515 个项目，其中 6,514 个节点有边观测，形成 9,894 条含自环的有向 RefQ edges（其中 289 条为自环、9,605 条为跨项目边）。其无向派生视图包含 9,557 条边，最大连通子图包含 6,376 个节点和 9,472 条无向边。","本文以 GitHub 平台 294 个开源 DBMS 项目作为征引侧种子样本，基于 GH_CoRE（GitHub Collaboration Relation Extraction）处理链抽取、校验并组织协作引用关系。观测窗口共扫描  3,748,078 条输入 Reference records，经 source-admission 后保留 3,747,958 条 admitted source-observation records，其中 1,586,047 条进入 quotient-eligible project-mappable 子域；Project-level RefQN 的完整节点域为 6,506 个项目，其中 6,505 个节点有边观测，形成 9,884 条含自环的有向 RefQ edges（其中 289 条为自环、9,595 条为跨项目边）。其无向派生视图包含 9,547 条边，最大连通子图包含 6,367 个节点和 9,462 条无向边。","本文以 GitHub 平台 294 个开源 DBMS 项目作为征引侧种子样本，基于 GH_CoRE（GitHub Collaboration Relation Extraction）处理链抽取、校验并组织协作引用关系。观测窗口共扫描 3,748,078 条输入 Reference records，经 source-admission 后保留 3,747,958 条 admitted source-observation records，其中 1,586,047 条进入 quotient-eligible project-mappable 子域；Project-level RefQN 的完整节点域为 6,506 个项目，其中 6,505 个节点有边观测，形成 9,884 条含自环的有向 RefQ edges（其中 289 条为自环、9,595 条为跨项目边）。其无向派生视图包含 9,547 条边，最大连通子图包含 6,367 个节点和 9,462 条无向边。","REQUIRED_NUMERIC_CORRECTION","REQUIRED_DATA_SCOPE_CORRECTION","outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json;outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json","YES","YES","NO","NO","KEEP_CURRENT_SCIENCE_USE_FROZEN_WORDING","NO","Repeated core result block must be synchronized once to current authority."
"N040","S7 reserve","Appendix A.1","Project age is a cross-sectional 2023 attribute. Louvain communities are algorithmic partitions under the current undirected view and modularity objective, not semantic DBMS communities. Structural brokerage candidates are bridge-like positions in the current graph, not knowledge brokers or organizational coordinators. No second-order projection enters the main analysis.","- S7 status: KEPT_FIXED_OBJECT (G09 = PASS)","- S7 status: KEPT_FIXED_OBJECT (G09 = PASS)","REQUIRED_SEMANTIC_BOUNDARY_CORRECTION","EDITORIAL_CONDENSATION","docs/freeze/ch5_refq_p0v3_s7_fixed_object_overlap_runtime_gate_v1.md;supplemental/reference_quotient_v1/outputs/S7_top_evidence_composition/","NO","YES","NO","NO","MERGE_OLD_AND_QA","YES","Restore the valid cross-sectional/Louvain/brokerage/no-second-order boundary while retaining the QA S7 fixed-object status."
