artifact_type,artifact_id,section,location,old_content,issue_class,frozen_authority,new_content_or_action,value_change,semantic_change,priority,review_required
table,Table 4.2,results/RQ1,lines 409-427,Six aggregated target-entity rows with old counts and shares,STALE_NUMBERS_AND_AGGREGATION,outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv; supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/rq1_referenced_entity_distribution_plot.csv,Use complete current target-entity rows and explicit fine-grained unit,YES,YES,P0,YES
table,Table 4.3,results/RQ1,lines 452-460,"Active issue statistics 740.06/85.50/2,025.60/22,349/etc",STALE_NUMBERS,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv,Replace full metric row from active_issue_pr_count,YES,NO,P0,YES
table,Table 4.4,results/RQ1,lines 468-474,Comment-per-issue statistics 2.08/1.72/15.95/etc,STALE_NUMBERS,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv,Replace full metric row from comment_per_issue,YES,NO,P0,YES
table,Table 4.5,results/RQ1,lines 480-486,Comment-reference-density statistics 2.70/1.70/34.62/etc,STALE_NUMBERS,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv,Replace full metric row from comment_reference_density,YES,NO,P0,YES
table,Table 4.6a,results/RQ1,lines 509-525,Age correlations -0.1063/0.1063/0.1542/0.1423,STALE_NUMBERS,outputs/reference_quotient_p0_corrected_v3/rq1_project_age_cross_sectional_association.csv,Replace all rho and p values; retain cross-sectional 2023 design,YES,NO,P0,YES
table,Table 4.6b,results/RQ2,lines 536-543,"Scale table with 6,515; 6,514; 9,894; 1,586,117; 139,044; 9,557; 6,376; 9,472; 9,520",STALE_NUMBERS,outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json,"Replace with frozen core and view-specific values including 1,586,047; 138,974; 6,506; 6,505; 6,367; 9,462; 9,510",YES,YES,P0,YES
table,Table 4.6c,results/RQ2a,lines 551-559,Source-role means/quantiles and HHI based on prior P0,STALE_NUMBERS,outputs/reference_quotient_p0_corrected_v3/rq2a_source_role_metrics.csv; supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/rq2a_source_role_quantiles.csv,Replace complete row set; preserve source-role denominator of 294,YES,NO,P0,YES
table,Table 4.6d,results/RQ2b,lines 569-580,"6,332 targets; 111 seeds; 6,221 expanded; old concentration values",STALE_NUMBERS,outputs/reference_quotient_p0_corrected_v3/rq2b_target_role_metrics.csv; outputs/reference_quotient_p0_corrected_v3/rq2b_target_concentration.json,"Replace with 6,322 observable; 110 seed; 6,212 expanded; concentration from frozen JSON",YES,NO,P0,YES
table,Table 4.6e,results/RQ2c,lines 590-601,Old undirected summary and 34 communities/modularity 0.797309595,STALE_NUMBERS_AND_INTERPRETATION,outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json; supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/structural_summary.csv; supplemental/reference_quotient_v2/outputs_p0v3/S4_community_stability/louvain_stability_summary.json,Replace core summary; use 35 canonical communities and explicitly add S4 limitation,YES,YES,P0,YES
table,Table 4.6f,results/RQ2c,lines 605-613,Old top-five brokerage values and community IDs,STALE_NUMBERS_AND_IDS,outputs/reference_quotient_p0_corrected_v3/rq2c_structural_brokerage_top50.csv; outputs/reference_quotient_p0_corrected_v3/rq2c_structural_brokerage_candidates.csv,Replace complete top-five rows; treat community IDs as algorithmic labels only,YES,YES,P0,YES
table,Table 4.7,results/RQ3,lines 623-636,Eight category rows and old medians/n values,STALE_NUMBERS_AND_CATEGORY_COVERAGE,outputs/reference_quotient_p0_corrected_v3/rq3_subdomain_descriptive_comparison.csv,Rebuild from full include_mixed rows; retain metadata-not-community distinction,YES,YES,P0,YES
table,Table 4.8,results/RQ3,lines 642-658,Old FDR and epsilon-squared rows,STALE_NUMBERS,outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv,Replace all label modes/features; retain no cross-mode robust claim,YES,NO,P0,YES
